	protein	gene
BSU33210	Sensor histidine kinase YvrG (EC 2.7.13.3)	yvrG BSU33210
BSU33221	NA	NA
BSU33222	Sigma-O factor regulatory protein RsoA	rsoA yvrHa BSU33222
BSU33230	RNA polymerase sigma factor SigO	sigO yvrI BSU33230
BSU33239	Uncharacterized protein YvrJ	yvrJ BSU33239
BSU33240	Oxalate decarboxylase OxdC (EC 4.1.1.2)	oxdC yvrK BSU33240
BSU33250	Membrane-bound negative regulator YvrL	yvrL BSU33250
BSU33260	Uncharacterized ABC transporter permease YvrN	yvrN yvrM yziB BSU33260
BSU33270	Uncharacterized ABC transporter ATP-binding protein YvrO (EC 7.-.-.-)	yvrO BSU33270
BSU33280	Putative efflux system protein YvrP	yvrP BSU33280
BSU33290	Iron(3+)-hydroxamate import ATP-binding protein FhuC (EC 7.2.2.16) (Ferric hydroxamate uptake protein C) (Ferrichrome transport ATP-binding protein FhuC) (Iron(III)-hydroxamate import ATP-binding protein FhuC)	fhuC BSU33290
BSU33300	Iron(3+)-hydroxamate import system permease protein FhuG (Ferric hydroxamate uptake protein G) (Ferrichrome transport system permease protein FhuG) (Iron(III)-hydroxamate import system permease protein FhuG)	fhuG BSU33300
BSU33310	Iron(3+)-hydroxamate import system permease protein FhuB (Ferric hydroxamate uptake protein B) (Ferrichrome transport system permease protein FhuB) (Iron(III)-hydroxamate import system permease protein FhuB)	fhuB BSU33310
BSU33320	Iron(3+)-hydroxamate-binding protein FhuD (Ferric hydroxamate uptake protein D) (Ferrichrome-binding protein) (Iron(III)-hydroxamate-binding protein FhuD)	fhuD BSU33320
BSU33330	Putative arginine/ornithine antiporter	yvsH BSU33330
BSU33340	Small, acid-soluble spore protein J (SASP J)	sspJ BSU33340
BSU33350	Uncharacterized protein YvsG	yvsG BSU33350
BSU33360	Lipoteichoic acid synthase-like YvgJ [Cleaved into: Uncharacterized protein YvgJ; Processed uncharacterized protein YvgJ]	yvgJ BSU33360
BSU33370	Uncharacterized protein YvgK	yvgK yvsE BSU33370
BSU33380	Putative ABC transporter substrate-binding lipoprotein YvgL	yvgL yvsD BSU33380
BSU33390	Putative molybdenum transport system permease protein YvgM	yvgM BSU33390
BSU33400	Glyoxal reductase (GR) (EC 1.1.1.-) (Methylglyoxal reductase) (EC 1.1.1.283)	yvgN BSU33400
BSU33410	Stress response protein YvgO	yvgO BSU33410
BSU33420	Sodium, potassium, lithium and rubidium/H(+) antiporter	nhaK yvgP BSU33420
BSU33430	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)	cysI yvgQ BSU33430
BSU33440	Sulfite reductase [NADPH] flavoprotein alpha-component (SiR-FP) (EC 1.8.1.2)	cysJ yvgR BSU33440
BSU33450	DNA helicase IV (EC 3.6.4.12)	helD yvgS BSU33450
BSU33460	UPF0126 membrane protein YvgT	yvgT BSU33460
BSU33470	Disulfide bond formation protein C (Disulfide oxidoreductase C) (Thiol-disulfide oxidoreductase C)	bdbC yvgU BSU33470
BSU33480	Disulfide bond formation protein D (Disulfide oxidoreductase D) (Thiol-disulfide oxidoreductase D)	bdbD yvgV BSU33480
BSU33490	Cadmium, zinc and cobalt-transporting ATPase (EC 7.2.2.12) (EC 7.2.2.21)	cadA yvgW BSU33490
BSU33500	Copper-exporting P-type ATPase (Protein CopA) (EC 7.2.2.8) (Copper-exporting P-type ATPase A) (Cu(+)-exporting ATPase)	copA yvgX BSU33500
BSU33510	Copper chaperone CopZ (Copper-ion-binding protein)	copZ yvgY BSU33510
BSU33520	Copper-sensing transcriptional repressor CsoR (Copper-sensitive operon repressor)	csoR yvgZ BSU33520
BSU33530	scyllo-inositol 2-dehydrogenase (NADP(+)) IolW (EC 1.1.1.371) (NADP(+)-dependent scyllo-inositol dehydrogenase 1) (NADP(+)-dependent SI dehydrogenase 1)	iolW yvaA BSU33530
BSU33540	FMN-dependent NADH:quinone oxidoreductase 2 (EC 1.6.5.-) (Azo-dye reductase 2) (FMN-dependent NADH-azo compound oxidoreductase 2) (FMN-dependent NADH-azoreductase 2) (EC 1.7.1.17)	azoR2 yvaB BSU33540
BSU33550	Uncharacterized membrane protein YvaC	yvaC BSU33550
BSU33560	Uncharacterized protein YvaD	yvaD BSU33560
BSU33570	Uncharacterized membrane protein YvaE	yvaE BSU33570
BSU33580	Uncharacterized HTH-type transcriptional regulator YvaF	yvaF BSU33580
BSU33590	Uncharacterized oxidoreductase YvaG (EC 1.-.-.-)	yvaG BSU33590
BSU33600	SsrA-binding protein (Small protein B)	smpB yvaI BSU33600
BSU33610	Ribonuclease R (RNase R) (EC 3.1.13.1) (VacB protein homolog)	rnr vacB yvaJ BSU33610
BSU33620	Carboxylesterase (EC 3.1.1.1)	est yvaK BSU33620
BSU33630	Probable protein-export membrane protein SecG	secG yvaL BSU33630
BSU33640	AB hydrolase superfamily protein YvaM (EC 3.-.-.-)	yvaM BSU33640
BSU33650	Uncharacterized HTH-type transcriptional regulator YvzC	yvzC BSU33650
BSU33660	HTH-type transcriptional repressor RghR (RapGH repressor)	rghR rghRA yvaN BSU33660
BSU33670	Uncharacterized HTH-type transcriptional regulator RghRB	rghRB yvaO BSU33670
BSU33680	Uncharacterized HTH-type transcriptional regulator YvaP	yvaP BSU33680
BSU33690	Putative sensory transducer protein YvaQ (Methyl-accepting chemotaxis protein)	yvaQ BSU33690
BSU33700	Choline transport system permease protein OpuBD	opuBD proZ BSU33700
BSU33710	Choline-binding protein	opuBC proX BSU33710
BSU33720	Choline transport system permease protein OpuBB	opuBB proW BSU33720
BSU33730	Choline transport ATP-binding protein OpuBA	opuBA proV BSU33730
BSU33740	Putative HTH-type transcriptional regulator YvaV	yvaV BSU33740
BSU33750	Sporulation-delaying protein SdpA	sdpA yvaW BSU33750
BSU33760	Sporulation-delaying protein SdpB	sdpB yvaX BSU33760
BSU33770	Sporulation delaying protein C (SdpC) (Cannibalism toxin SDP) (Killing factor SdpC) (Toxic peptide SdpC) [Cleaved into: Sporulation delaying protein (SDP)]	sdpC yvaY BSU33770
BSU33780	Immunity protein SdpI	sdpI yvaZ BSU33780
BSU33790	Transcriptional repressor SdpR	sdpR yvbA BSU33790
BSU33800	Glycine betaine/carnitine/choline transport system permease protein OpuCD	opuCD yvbB BSU33800
BSU33810	Glycine betaine/carnitine/choline-binding protein OpuCC (Osmoprotectant-binding protein)	opuCC yvbC BSU33810
BSU33820	Glycine betaine/carnitine/choline transport system permease protein OpuCB	opuCB yvbD BSU33820
BSU33830	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA	opuCA yvbE BSU33830
BSU33840	HTH-type transcriptional repressor OpcR	opcR yvbF BSU33840
BSU33850	UPF0056 membrane protein YvbG	yvbG BSU33850
BSU33860	Uncharacterized protein YvbH	yvbH BSU33860
BSU33870	Uncharacterized protein YvbI	yvbI BSU33870
BSU33880	Uncharacterized membrane protein YvbJ	yvbJ BSU33880
BSU33890	Uncharacterized N-acetyltransferase YvbK (EC 2.3.1.-)	yvbK BSU33890
BSU33900	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno BSU33900
BSU33910	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12) (Vegetative protein 107) (VEG107)	gpmI pgm BSU33910
BSU33920	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA tpi BSU33920
BSU33930	Phosphoglycerate kinase (EC 2.7.2.3)	pgk BSU33930
BSU33940	Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	gapA gap BSU33940
BSU33950	Central glycolytic genes regulator	cggR yvbQ BSU33950
BSU33960	Arabinose-proton symporter (Arabinose transporter)	araE yvbR BSU33960
BSU33970	Arabinose metabolism transcriptional repressor	araR araC yvbS BSU33970
BSU33980	Uncharacterized protein YvbT	yvbT BSU33980
BSU33990	Uncharacterized HTH-type transcriptional regulator YvbU	yvbU BSU33990
BSU34000	Uncharacterized transporter YvbV	yvbV BSU34000
BSU34010	Uncharacterized amino acid permease YvbW	yvbW BSU34010
BSU34020	Uncharacterized glycosylase YvbX (EC 3.2.-.-)	yvbX BSU34020
BSU34030	Lactate utilization protein C	lutC yvbY BSU34030
BSU34040	Lactate utilization protein B	lutB yvfW BSU34040
BSU34050	Lactate utilization protein A	lutA yvfV BSU34050
BSU34060	Uncharacterized transcriptional regulatory protein YvfU	yvfU BSU34060
BSU34070	Sensor histidine kinase YvfT (EC 2.7.13.3)	yvfT BSU34070
BSU34080	Putative transport permease YvfS	yvfS BSU34080
BSU34090	Uncharacterized ABC transporter ATP-binding protein YvfR (EC 7.-.-.-)	yvfR BSU34090
BSU34100	Sigma factor SigB regulation protein RsbQ	rsbQ yvfQ BSU34100
BSU34110	Phosphoserine phosphatase RsbP (EC 3.1.3.3)	rsbP yvfP BSU34110
BSU34120	Endo-beta-1,4-galactanase (Galactanase) (EC 3.2.1.-) (Arabinogalactan endo-beta-1,4-galactanase) (EC 3.2.1.89)	ganB galA yvfO BSU34120
BSU34130	Beta-galactosidase GanA (Beta-gal) (EC 3.2.1.23) (Beta-1,4-galactooligomerase) (Galactooligomerase)	ganA galO lacA yvfN BSU34130
BSU34140	Galactooligosaccharides transport system permease protein GanQ	ganQ yvfM BSU34140
BSU34150	Galactooligosaccharides transport system permease protein GanP	ganP yvfL BSU34150
BSU34160	Galactooligosaccharide-binding protein (Cyclodextrin-binding protein)	ganS cycB yvfK BSU34160
BSU34170	HTH-type transcriptional regulator GanR	ganR lacR yvfJ BSU34170
BSU34180	HTH-type transcriptional regulator LutR (L-lactate utilization operon repressor)	lutR yvfI BSU34180
BSU34190	L-lactate permease	lutP yvfH BSU34190
BSU34200	RNA polymerase sigma-54 factor	sigL BSU34200
BSU34210	Uncharacterized protein YvfG	yvfG BSU34210
BSU34220	Putative pyruvyl transferase EpsO (EC 2.-.-.-)	epsO yvfF BSU34220
BSU34230	Putative pyridoxal phosphate-dependent aminotransferase EpsN (EC 2.6.1.-)	epsN yvfE BSU34230
BSU34240	UDP-N-acetylbacillosamine N-acetyltransferase (EC 2.3.1.203)	epsM yvfD BSU34240
BSU34250	Uncharacterized sugar transferase EpsL (EC 2.-.-.-)	epsL yvfC BSU34250
BSU34265	Uncharacterized membrane protein EpsK	epsK yvfA/yvfB BSU34265 BSU34270/BSU34260
BSU34280	Uncharacterized glycosyltransferase EpsJ (EC 2.4.-.-)	epsJ yveT BSU34280
BSU34290	Putative pyruvyl transferase EpsI (EC 2.-.-.-)	epsI yveS BSU34290
BSU34300	Putative glycosyltransferase EpsH (EC 2.4.-.-)	epsH yveR BSU34300
BSU34310	Transmembrane protein EpsG	epsG yveQ BSU34310
BSU34320	Putative glycosyltransferase EpsF (EC 2.4.-.-)	epsF yveP BSU34320
BSU34330	Putative glycosyltransferase EpsE (EC 2.4.-.-)	epsE yveO BSU34330
BSU34340	Putative glycosyltransferase EpsD (EC 2.4.-.-)	epsD yveN BSU34340
BSU34350	Probable polysaccharide biosynthesis protein EpsC	epsC yveM BSU34350
BSU34360	Putative tyrosine-protein kinase YveL (EC 2.7.10.2)	yveL BSU34360
BSU34370	Uncharacterized protein YveK	yveK BSU34370
BSU34380	HTH-type transcriptional regulator SlrR	slrR slr yveJ BSU34380
BSU34390	Para-nitrobenzyl esterase (EC 3.1.1.-) (Intracellular esterase B) (PNB carboxy-esterase) (PNBCE)	pnbA estB BSU34390
BSU34399	NA	NA
BSU34400	Phenolic acid decarboxylase PadC (PAD) (EC 4.1.1.102)	padC pad yveH BSU34400
BSU34410	UPF0311 protein YveG	yveG BSU34410
BSU34420	Uncharacterized protein YveF	yveF BSU34420
BSU34430	Broad specificity amino-acid racemase RacX (EC 5.1.1.10)	racX BSU34430
BSU34440	Penicillin-binding protein 4* (PBP 4*) (PBP 4A) (Penicillin-binding protein E)	pbpE BSU34440
BSU34450	Levansucrase (EC 2.4.1.10) (Beta-D-fructofuranosyl transferase) (Sucrose 6-fructosyl transferase)	sacB BSU34450
BSU34460	Levanbiose-producing levanase (EC 3.2.1.64) (2,6-beta-fructan 6-levanbiohydrolase) (Endo-levanase)	levB yveB BSU34460
BSU34470	Aspartate-proton symporter (L-aspartate transporter)	yveA BSU34470
BSU34480	Uncharacterized HTH-type transcriptional regulator YvdT	yvdT BSU34480
BSU34490	Uncharacterized membrane protein YvdS	yvdS BSU34490
BSU34500	Uncharacterized membrane protein YvdR	yvdR BSU34500
BSU34510	Uncharacterized protein YvdQ	yvdQ BSU34510
BSU34520	Uncharacterized FAD-linked oxidoreductase YvdP (EC 1.21.-.-) (Spore coat protein YvdP)	yvdP BSU34520
BSU34530	Putative sporulation hydrolase CotR (EC 3.1.1.-)	cotR yvdO BSU34530
BSU34540	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Caseinolytic protease) (Endopeptidase Clp) (Stress protein G7)	clpP yvdN BSU34540
BSU34550	Beta-phosphoglucomutase (Beta-PGM) (EC 5.4.2.6)	yvdM BSU34550
BSU34560	Oligo-1,6-glucosidase 1 (EC 3.2.1.10) (Dextrin 6-alpha-D-glucanohydrolase) (Oligosaccharide alpha-1,6-glucosidase 1) (Sucrase-isomaltase 1) (Isomaltase 1)	malL yvdL BSU34560
BSU34570	Maltose phosphorylase (EC 2.4.1.8)	mdxK malK yvdK BSU34570
BSU34580	Putative maltodextrin utilization protein YvdJ	yvdJ BSU34580
BSU34590	Maltodextrin transport system permease protein MdxG	mdxG yvdI BSU34590
BSU34600	Maltodextrin transport system permease protein MdxF	mdxF yvdH BSU34600
BSU34610	Maltodextrin-binding protein MdxE	mdxE yvdG BSU34610
BSU34620	Intracellular maltogenic amylase (EC 3.2.1.-)	bbmA yvdF BSU34620
BSU34630	Uncharacterized HTH-type transcriptional regulator YvdE	yvdE BSU34630
BSU34640	LOG family protein YvdD	yvdD BSU34640
BSU34650	Uncharacterized protein YvdC	yvdC BSU34650
BSU34660	Putative sulfate transporter YvdB	yvdB BSU34660
BSU34670	Putative carbonic anhydrase YvdA (EC 4.2.1.1) (Carbonate dehydratase)	yvdA BSU34670
BSU34680	Probable 2-ketogluconate reductase (2KR) (EC 1.1.1.215)	yvcT BSU34680
BSU34690	Uncharacterized ABC transporter permease YvcS	yvcS BSU34690
BSU34700	Uncharacterized ABC transporter ATP-binding protein YvcR (EC 7.-.-.-)	yvcR BSU34700
BSU34710	Sensor histidine kinase YvcQ (EC 2.7.13.3)	yvcQ BSU34710
BSU34720	Uncharacterized transcriptional regulatory protein YvcP	yvcP BSU34720
BSU34729	Uncharacterized lipoprotein YvzJ	yvzJ BSU34729
BSU34730	Uncharacterized acetyltransferase YvcN (EC 2.3.1.-)	yvcN BSU34730
BSU34740	HPr-like protein Crh (Catabolite repression HPr)	crh yvcM BSU34740
BSU34750	Probable cell division protein WhiA	whiA yvcL BSU34750
BSU34760	Gluconeogenesis factor	mgfK yvcK BSU34760
BSU34770	Nucleotide-binding protein YvcJ	yvcJ BSU34770
BSU34780	Uncharacterized Nudix hydrolase YvcI (EC 3.6.-.-)	yvcI BSU34780
BSU34790	Thioredoxin reductase (TRXR) (EC 1.8.1.9) (General stress protein 35) (GSP35)	trxB yvcH BSU34790
BSU34800	Peptidoglycan DL-endopeptidase CwlO (EC 3.4.-.-) (D-gamma-glutamyl-meso-diaminopimelyl DL-endopeptidase) (PSPA2)	cwlO yvcE yzkA BSU34800
BSU34810	TPR repeat-containing protein YvcD	yvcD BSU34810
BSU34820	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA (EC 7.6.2.-)	bmrA yvcC BSU34820
BSU34830	Uncharacterized protein YvzA	yvzA BSU34830
BSU34840	Putative uncharacterized protein YvcB	yvcB yvrB BSU34840
BSU34850	Putative lipoprotein YvcA	yvcA yvrA BSU34850
BSU34860	Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)]	hisI hisIE BSU34860
BSU34870	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	hisF BSU34870
BSU34880	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	hisA BSU34880
BSU34890	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	hisH BSU34890
BSU34900	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)	hisB BSU34900
BSU34910	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD BSU34910
BSU34920	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG BSU34920
BSU34930	ATP phosphoribosyltransferase regulatory subunit	hisZ BSU34930
BSU34940	Uncharacterized protein YvpB	yvpB BSU34940
BSU34950	Pectate lyase C (EC 4.2.2.2) (Pectin lyase) (EC 4.2.2.10)	pelC yvpA BSU34950
BSU34960	Putative acetyltransferase YvoF (EC 2.3.1.-)	yvoF BSU34960
BSU34970	Pyrophosphatase PpaX (EC 3.6.1.1)	ppaX hprP ptsL yvoE BSU34970
BSU34980	Uncharacterized membrane protein YvoD	yvoD BSU34980
BSU34990	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase (EC 2.5.1.145) (Spore germination protein GerF)	lgt gerF BSU34990
BSU35000	HPr kinase/phosphorylase (HPrK/P) (EC 2.7.11.-) (EC 2.7.4.-) (HPr kinase/phosphatase) (HPr(Ser) kinase/phosphorylase)	hprK ptsK yvoB BSU35000
BSU35010	N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase) (EC 3.5.1.25)	nagA BSU35010
BSU35020	Glucosamine-6-phosphate deaminase 1 (EC 3.5.99.6) (GlcN6P deaminase 1) (GNPDA 1) (Glucosamine-6-phosphate isomerase 1)	nagB BSU35020
BSU35030	HTH-type transcriptional repressor NagR (N-acetylglucosamine utilization regulator)	nagR yvoA BSU35030
BSU35040	Uncharacterized protein YvnB	yvnB BSU35040
BSU35050	Uncharacterized HTH-type transcriptional regulator YvnA	yvnA BSU35050
BSU35060	Pulcherriminic acid synthase (EC 1.14.15.13) (CYP134A1) (Cyclo-L-leucyl-L-leucyl dipeptide oxidase) (Cytochrome P450 CypX)	cypX cyp134 cypB BSU35060
BSU35070	Cyclo(L-leucyl-L-leucyl) synthase (EC 2.3.2.22) (Cyclodileucine synthase) (Cyclodipeptide synthase) (CDPS)	yvmC BSU35070
BSU35080	HTH-type transcriptional regulator PchR (Pulcherriminic acid biosynthetis regulator)	pchR yvmB yzhA BSU35080
BSU35090	Uncharacterized MFS-type transporter YvmA	yvmA BSU35090
BSU35100	Uncharacterized membrane protein YvlD	yvlD BSU35100
BSU35110	Uncharacterized membrane protein YvlC	yvlC BSU35110
BSU35120	Uncharacterized protein YvlB	yvlB BSU35120
BSU35130	Uncharacterized protein YvlA	yvlA BSU35130
BSU35140	Uncharacterized protein YvkN	yvkN BSU35140
BSU35150	Putative flagellin YvzB	yvzB BSU35150
BSU35160	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	uvrA BSU35160
BSU35170	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B) (Protein DinA)	uvrB dinA uvr BSU35170
BSU35180	Protein CsbA	csbA BSU35180
BSU35190	Uncharacterized phosphotransferase YvkC	yvkC BSU35190
BSU35200	Uncharacterized HTH-type transcriptional regulator YvkB	yvkB BSU35200
BSU35210	Uncharacterized MFS-type transporter YvkA	yvkA BSU35210
BSU35220	Cell division topological determinant MinJ	minJ swrAB yvjD BSU35220
BSU35230	Swarming motility protein SwrAA	swrAA swrA BSU35230
BSU35239	NA	NA
BSU35240	Carboxy-terminal processing protease CtpB (C-terminal processing protease) (EC 3.4.21.102)	ctpB yvjB BSU35240
BSU35250	Cell division protein FtsX	ftsX BSU35250
BSU35260	Cell division ATP-binding protein FtsE	ftsE BSU35260
BSU35270	Cytochrome c-551 (Cytochrome c B) (Cytochrome c551)	cccB BSU35270
BSU35280	UPF0750 membrane protein YvjA	yvjA BSU35280
BSU35290	Peptide chain release factor 2 (RF-2)	prfB BSU35290
BSU35300	Protein translocase subunit SecA (EC 7.4.2.8)	secA div+ BSU35300
BSU35310	Ribosome hibernation promotion factor (HPF) (Hst23) (Putative sigma-54 modulation protein) (SigL modulation protein)	yvyD hpf yviI BSU35310 orf189
BSU35319	Uncharacterized protein YvzG	yvzG BSU35319
BSU35320	Flagellar protein FliT	fliT BSU35320
BSU35330	Flagellar secretion chaperone FliS	fliS BSU35330
BSU35340	Flagellar hook-associated protein 2 (HAP2) (Filament cap protein) (Flagellar cap protein)	fliD mrgB BSU35340
BSU35350	Uncharacterized protein YvyC (ORF 99)	yvyC yviH BSU35350
BSU35360	Flagellin (GSX1) (Hag)	hag BSU35360
BSU35370	Translational regulator CsrA	csrA sow yviG BSU35370
BSU35380	Flagellar assembly factor FliW	fliW yviF BSU35380
BSU35390	Uncharacterized protein YviE	yviE BSU35390
BSU35400	Flagellar hook-associated protein 3 (HAP3)	flgL yviD BSU35400
BSU35410	Flagellar hook-associated protein 1 (HAP1)	flgK BSU35410
BSU35420	Uncharacterized protein YvyG	yvyG yviC BSU35420
BSU35430	Negative regulator of flagellin synthesis (Anti-sigma-D factor)	flgM BSU35430
BSU35440	Uncharacterized protein YvyF	yvyF yviB BSU35440
BSU35450	ComF operon protein 3	comFC comF3 BSU35450
BSU35460	ComF operon protein 2	comFB comF2 BSU35460
BSU35470	ComF operon protein 1 (EC 3.6.4.12) (ATP-dependent helicase ComFA)	comFA comF1 BSU35470
BSU35480	Protein DegV	degV yviA BSU35480
BSU35490	Transcriptional regulatory protein DegU (Protease production enhancer protein)	degU iep BSU35490
BSU35500	Signal transduction histidine-protein kinase/phosphatase DegS (EC 2.7.13.3) (EC 3.1.3.-)	degS sacU BSU35500
BSU35510	IMPACT family member YvyE	yvyE yvhK BSU35510
BSU35520	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagV (EC 2.7.8.-)	tagV yvhJ BSU35520
BSU35530	Probable undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33) (UDP-GlcNAc:undecaprenyl-phosphate GlcNAc-1-phosphate transferase) (Undecaprenyl-Phosphate GlcNAc-1-phosphate transferase)	tagO yvhI BSU35530
BSU35540	Putative teichuronic acid biosynthesis glycosyltransferase TuaH (EC 2.4.-.-)	tuaH yvhH BSU35540
BSU35550	Putative teichuronic acid biosynthesis glycosyltransferase TuaG (EC 2.4.-.-)	tuaG yvhG BSU35550
BSU35560	Teichuronic acid biosynthesis protein TuaF	tuaF yvhF BSU35560
BSU35570	Teichuronic acid biosynthesis protein TuaE	tuaE yvhE BSU35570
BSU35580	UDP-glucose 6-dehydrogenase TuaD (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22) (Teichuronic acid biosynthesis protein TuaD)	tuaD yvhD BSU35580
BSU35590	Putative teichuronic acid biosynthesis glycosyltransferase TuaC (EC 2.4.-.-)	tuaC yvhC BSU35590
BSU35600	Teichuronic acid biosynthesis protein TuaB	tuaB yvhB BSU35600
BSU35609	NA	NA
BSU35610	Putative undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase (EC 2.7.8.40) (Teichuronic acid biosynthesis protein TuaA) (UDP-GalNAc:undecaprenyl-P GalNAc-1-P transferase)	tuaA yvhA BSU35610
BSU35620	N-acetylmuramoyl-L-alanine amidase LytC (EC 3.5.1.28) (Cell wall-associated polypeptide CWBP49) (CWBP49) (Major autolysin) (Vegetative cell wall hydrolase LytC)	lytC cwlB BSU35620
BSU35630	Amidase enhancer (Cell wall-associated polypeptide CWBP76) (CWBP76) (Modifier protein of major autolysin)	lytB cwbA BSU35630
BSU35640	Membrane-bound protein LytA	lytA lppX BSU35640
BSU35650	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU (EC 2.7.8.-) (Membrane-bound protein LytR)	tagU lytR BSU35650
BSU35660	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) (UDP-GlcNAc-2-epimerase)	mnaA BSU35660
BSU35670	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (General stress protein 33) (GSP33) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase) (Uridine diphosphoglucose pyrophosphorylase)	gtaB BSU35670
BSU35678	NA	NA
BSU35679	NA	NA
BSU35680	Minor teichoic acid biosynthesis protein GgaB	ggaB BSU35680
BSU35690	Minor teichoic acid biosynthesis protein GgaA	ggaA BSU35690
BSU35698	NA	NA
BSU35699	NA	NA
BSU35700	Teichoic acids export ATP-binding protein TagH (EC 7.5.2.4) (Teichoic acid-transporting ATPase)	tagH BSU35700
BSU35710	Teichoic acid translocation permease protein TagG	tagG BSU35710
BSU35720	Teichoic acid poly(glycerol phosphate) polymerase (EC 2.7.8.12) (CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase) (CGPTase) (Major teichoic acid biosynthesis protein F) (Poly(glycerol phosphate) polymerase) (Tag polymerase)	tagF rodC tag3 BSU35720
BSU35730	Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52) (Major teichoic acid biosynthesis protein E)	tagE gtaA rodD BSU35730
BSU35740	Glycerol-3-phosphate cytidylyltransferase (GCT) (GCTase) (Gro-PCT) (EC 2.7.7.39) (CDP-glycerol pyrophosphorylase) (Teichoic acid biosynthesis protein D)	tagD BSU35740
BSU35750	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase (EC 2.4.1.187) (Major teichoic acid biosynthesis protein A) (N-acetylmannosaminyltransferase) (UDP-N-acetylmannosamine transferase) (UDP-N-acetylmannosamine:N-acetylglucosaminyl pyrophosphorylundecaprenol N-acetylmannosaminyltransferase)	tagA BSU35750
BSU35760	Teichoic acid glycerol-phosphate primase (EC 2.7.8.44) (CDP-glycerol:N-acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase) (CDP-glycerol:glycerophosphate glycerophosphotransferase) (Major teichoic acid biosynthesis protein B) (Tag primase)	tagB BSU35760
BSU35770	Putative major teichoic acid biosynthesis protein C	tagC dinC BSU35770
BSU35780	Beta-N-acetylglucosaminidase (EC 3.2.1.96) (Cell wall-associated polypeptide 90) (CWBP90)	lytD cwlG BSU35780
BSU35790	Putative mannose-6-phosphate isomerase YvyI (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	yvyI pmi BSU35790
BSU35800	Spore germination protein B1	gerBA BSU35800
BSU35810	Spore germination protein B2	gerBB BSU35810
BSU35820	Spore germination protein B3	gerBC BSU35820
BSU35830	Putative metabolite transport protein YwtG	ywtG BSU35830
BSU35840	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagT (EC 2.7.8.-)	tagT ywtF BSU35840
BSU35850	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YwtE (EC 3.1.3.104)	ywtE BSU35850
