Entry	Protein names	Gene Names
A0A6M3ZIR5	HTH_40 domain-containing protein	HIR78_13790
A0A6M3ZIS0	MFS transporter	HIR78_01330
A0A6M3ZIS1	DUF4257 domain-containing protein	HIR78_17600
A0A6M3ZIS4	Uncharacterized protein	HIR78_22430
A0A6M3ZIS9	Cysteine metabolism transcriptional regulator CymR	cymR HIR78_16160
A0A6M3ZIT1	Iron-sulfur cluster assembly accessory protein	HIR78_18670
A0A6M3ZIT4	Major tail protein	HIR78_11470 HIR78_12815
A0A6M3ZIT5	Spore coat protein CotS	cotS HIR78_17890
A0A6M3ZIT6	HTH-type transcriptional regulator AnsR	ansR HIR78_14070
A0A6M3ZIT7	MFS transporter	HIR78_02980
A0A6M3ZIT8	DUF72 domain-containing protein	HIR78_18785
A0A6M3ZIU2	DUF3237 domain-containing protein	HIR78_19865
A0A6M3ZIU4	GNAT family N-acetyltransferase	HIR78_18060
A0A6M3ZIU6	Uncharacterized protein	HIR78_22530
A0A6M3ZIU8	Helix-turn-helix transcriptional regulator	HIR78_05010
A0A6M3ZIV1	Peptide-binding protein	HIR78_19715
A0A6M3ZIV2	MFS transporter	HIR78_20950
A0A6M3ZIV3	Transporter substrate-binding protein	HIR78_21055
A0A6M3ZIV4	Exo-glucosaminidase LytG	lytG HIR78_18120
A0A6M3ZIV6	ABC transporter permease YxdM	yxdM tpeM HIR78_22580
A0A6M3ZIV7	M20/M25/M40 family metallo-hydrolase	HIR78_14240
A0A6M3ZIV8	N-acetyltransferase	HIR78_20990
A0A6M3ZIW0	Intracellular proteinase inhibitor	HIR78_06140
A0A6M3ZIW1	GtrA family protein	HIR78_21850
A0A6M3ZIW2	Aminopeptidase YwaD (EC 3.4.11.10, EC 3.4.11.6)	ywaD HIR78_21985
A0A6M3ZIW3	Bifunctional aldolase/short-chain dehydrogenase	HIR78_18175
A0A6M3ZIW9	TIGR04086 family membrane protein	HIR78_16250
A0A6M3ZIX1	Cell wall metabolism DNA-binding response regulator WalR	walR HIR78_23005
A0A6M3ZIX3	DUF2627 domain-containing protein	HIR78_14345
A0A6M3ZIX4	MerR family transcriptional regulator	HIR78_23255
A0A6M3ZIX5	PQQ-like beta-propeller repeat protein	HIR78_22735
A0A6M3ZIX8	Peptidase	HIR78_18230
A0A6M3ZIY9	DUF418 domain-containing protein	HIR78_22750
A0A6M3ZIZ8	Gluconokinase (EC 2.7.1.12)	gntK HIR78_22800
A0A6M3ZIZ9	Polysaccharide biosynthesis protein	HIR78_19830
A0A6M3ZJ03	Secreted protein	HIR78_18385
A0A6M3ZJ09	Zinc metalloprotease LiaK	liaK yydH HIR78_22855
A0A6M3ZJ10	3D domain-containing protein	HIR78_12345
A0A6M3ZJ13	ComG operon protein ComGB	comGB HIR78_14655
A0A6M3ZJ14	UPF0398 protein HIR78_13355	HIR78_13355
A0A6M3ZJ15	GlsB/YeaQ/YmgE family stress response membrane protein	HIR78_21835
A0A6M3ZJ22	Lipoprotein	HIR78_14710
A0A6M3ZJ23	Acyl-CoA carboxylase subunit beta	HIR78_14245
A0A6M3ZJ24	Uncharacterized protein	HIR78_22880
A0A6M3ZJ27	Sporulation transcriptional activator AdeR	adeR HIR78_18550
A0A6M3ZJ31	Lipoprotein	HIR78_15770
A0A6M3ZJ35	DUF1189 domain-containing protein	HIR78_14820
A0A6M3ZJ53	Methyl-accepting chemotaxis protein	mcpA HIR78_18185
A0A6M3ZJ54	Spore coat-associated protein CotNH	cotNH HIR78_18725
A0A6M3ZJ55	Sporulation protein YqfD	yqfD HIR78_14975
A0A6M3ZJ61	Bifunctional metallophosphatase/5'-nucleotidase	HIR78_18775
A0A6M3ZJ63	ATP-binding cassette domain-containing protein	HIR78_19200
A0A6M3ZJ64	Sugar O-acetyltransferase	HIR78_23280
A0A6M3ZJ66	Xanthine dehydrogenase subunit D (EC 1.17.1.4)	pucD HIR78_18835
A0A6M3ZJ72	DNA polymerase III subunit delta (EC 2.7.7.7)	holA HIR78_15080
A0A6M3ZJ73	VOC family protein	HIR78_21240
A0A6M3ZJ74	Carbohydrate ABC transporter permease	HIR78_18890
A0A6M3ZJ76	Membrane protein YkvI	HIR78_23330
A0A6M3ZJ83	Fe-S cluster assembly protein SufB	sufB HIR78_18940
A0A6M3ZJ87	SCP2 domain-containing protein	HIR78_18990
A0A6M3ZJ94	Coat F domain-containing protein	HIR78_19045
A0A6M3ZJ98	Transcriptional regulator	HIR78_15235
A0A6M3ZJ99	Metalloregulation DNA-binding stress protein MgrA	mrgA HIR78_19105
A0A6M3ZJA7	MFS transporter	HIR78_03535
A0A6M3ZJB3	ABC transporter substrate-binding protein	HIR78_19210
A0A6M3ZJB7	ABC transporter ATP-binding protein	HIR78_19265
A0A6M3ZJC0	Molybdate ABC transporter substrate-binding protein	modA HIR78_19320
A0A6M3ZJC8	Disulfide bond formation protein BdbD	bdbD HIR78_19370
A0A6M3ZJC9	Two-component response regulator YrkP	yrkP HIR78_15560
A0A6M3ZJD0	Phage-like element PBSX protein XkdQ	HIR78_07015
A0A6M3ZJD8	Stage V sporulation protein SpoVM	spoVM HIR78_08645
A0A6M3ZJE1	Methyl-accepting chemotaxis protein	HIR78_19480
A0A6M3ZJE4	LysR family transcriptional regulator	HIR78_15670
A0A6M3ZJG1	ZinT family metal-binding protein	HIR78_15785
A0A6M3ZJH2	Phosphoserine phosphatase RsbP	rsbP HIR78_19690
A0A6M3ZJI0	RNA polymerase factor sigma-54	rpoN HIR78_19760
A0A6M3ZJI4	Heptaprenyl diphosphate synthase component II	hepT HIR78_13635
A0A6M3ZJI5	Biofilm exopolysaccharide biosynthesis protein EpsG	epsG HIR78_19810
A0A6M3ZJJ2	Serine hydrolase	HIR78_19875
A0A6M3ZJJ3	DUF2294 domain-containing protein	HIR78_15995
A0A6M3ZJK5	Carbonic anhydrase	HIR78_19995
A0A6M3ZJK6	PTS fructose transporter subunit IIB	levE HIR78_15910
A0A6M3ZJM7	Pulcherriminic acid biosynthesis transcriptional regulator PchR	pchR HIR78_20205
A0A6M3ZJP8	Flagellar hook-associated protein FlgL	flgL HIR78_20370
A0A6M3ZJQ2	Rod shape-determining protein MreD	mreD HIR78_16425
A0A6M3ZJR3	3-((4R)-4-hydroxycyclohexa-1, 5-dien-1-yl)-2-oxopropanoate isomerase (EC 5.3.3.19)	bacB HIR78_21610
A0A6M3ZJS0	DMT family transporter	HIR78_22380
A0A6M3ZJS4	Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)	tagD HIR78_20565
A0A6M3ZJT3	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagT	tagT HIR78_20615
A0A6M3ZJT6	Spore germination protein GerE	gerE HIR78_16635
A0A6M3ZJU0	Ribose ABC transporter permease	rbsC HIR78_20670
A0A6M3ZJU3	Electron transfer flavoprotein subunit alpha	etfA HIR78_16685
A0A6M3ZJU6	LysR family transcriptional regulator	HIR78_20775
A0A6M3ZJU8	Carbon starvation protein A	HIR78_16790
A0A6M3ZJV8	Histidine kinase	HIR78_20885
A0A6M3ZJW8	MFS transporter	HIR78_20935
A0A6M3ZJW9	Winged helix-turn-helix transcriptional regulator	HIR78_16945
A0A6M3ZJX3	DUF5362 domain-containing protein	HIR78_20995
A0A6M3ZJY9	Sporulation membrane protein YtrH	ytrH HIR78_17050
A0A6M3ZJZ2	Stage II sporulation protein D	spoIID HIR78_21105
A0A6M3ZJZ6	Glutaredoxin family protein	HIR78_17100
A0A6M3ZK02	SDR family oxidoreductase	HIR78_17150
A0A6M3ZK03	N-acetylglutamate synthase	HIR78_21210
A0A6M3ZK13	Transcriptional regulator RefZ	refZ HIR78_17255
A0A6M3ZK18	4Fe-4S dicluster domain-containing protein	HIR78_21325
A0A6M3ZK31	ABC transporter ATP-binding protein	HIR78_21435
A0A6M3ZK40	Agmatinase (EC 3.5.3.11)	speB HIR78_21490
A0A6M3ZK66	Spore coat dTDP-glycosyltransferase SpsA	spsA HIR78_21700
A0A6M3ZK73	PadR family transcriptional regulator	HIR78_21750
A0A6M3ZK88	Glyoxalase GlxA	glxA HIR78_21935
A0A6M3ZK97	6-phospho-beta-glucosidase	HIR78_22040
A0A6M3ZK98	Negative regulatory protein YxlE	HIR78_22095
A0A6M3ZKA6	M48 family metalloprotease	HIR78_22150
A0A6M3ZKD3	DNA-binding protein	HIR78_22360
A0A6M3ZKD9	YwqI/YxiC family protein	HIR78_22415
A0A6M3ZKF2	Amino acid ABC transporter substrate-binding protein	HIR78_22515
A0A6M3ZKF6	Biofilm formation protein MstX	mstX HIR78_18240
A0A6M3ZKF7	Integral inner membrane protein	HIR78_22565
A0A6M3ZKG3	Alpha/beta hydrolase	HIR78_18295
A0A6M3ZKH2	YufK family protein	HIR78_18345
A0A6M3ZKI1	Na(+)/H(+) antiporter subunit B	HIR78_18395
A0A6M3ZKI9	Group-specific protein	HIR78_22840
A0A6M3ZKJ5	CxxH/CxxC protein	HIR78_22895
A0A6M3ZKL7	TMhelix containing protein	HIR78_23085
A0A6M3ZKN3	YunG	HIR78_18790
A0A6M3ZKP3	Carbohydrate ABC transporter substrate-binding protein	HIR78_18900
A0A6M3ZKQ4	Putative hydro-lyase HIR78_02345 (EC 4.2.1.-)	HIR78_02345
A0A6M3ZKQ5	MarR family transcriptional regulator	HIR78_19055
A0A6M3ZKR2	Secretion stress-responsive two-component system response regulator CssR	cssR HIR78_19115
A0A6M3ZKR3	DUF4467 domain-containing protein	HIR78_02870
A0A6M3ZKS2	SMP-30/gluconolactonase/LRE family protein	HIR78_19220
A0A6M3ZKS3	Helix-turn-helix transcriptional regulator	HIR78_05990
A0A6M3ZKS8	ABC transporter ATP-binding protein	HIR78_19275
A0A6M3ZKT0	YjdF family protein	HIR78_06645
A0A6M3ZKT6	L,D-transpeptidase family protein	HIR78_07740
A0A6M3ZKU2	Copper chaperone CopZ	copZ HIR78_19385
A0A6M3ZKV0	DUF1328 domain-containing protein	HIR78_10775 HIR78_11675 HIR78_12110
A0A6M3ZKV4	Osmoprotectant ABC transporter substrate-binding protein	HIR78_19490
A0A6M3ZKV6	Tetratricopeptide repeat protein	HIR78_11575 HIR78_11940
A0A6M3ZKW1	Glycine betaine/carnitine/choline/choline sulfate ABC transporter permease OpuCB	opuCB HIR78_19545
A0A6M3ZKW3	Phage protein	HIR78_12285
A0A6M3ZKX2	Glycoside hydrolase family 18 protein	HIR78_19645
A0A6M3ZKX6	Membrane protein insertion/folding monitor MifM	mifM HIR78_14225
A0A6M3ZKY0	Green fluorescent protein	HIR78_19710
A0A6M3ZKY5	Pyruvyl transferase	HIR78_19770
A0A6M3ZKZ3	Glycosyltransferase EpsE	epsE HIR78_19820
A0A6M3ZKZ5	APC family permease	HIR78_19890
A0A6M3ZKZ6	VOC family protein	HIR78_16780
A0A6M3ZL21	Group-specific protein	HIR78_22065
A0A6M3ZL31	Phage holin family protein	HIR78_20215
A0A6M3ZL45	Flagella biosynthesis regulatory protein FliT	fliT HIR78_20330
A0A6M3ZL52	Flagellar protein FlgN	HIR78_20380
A0A6M3ZL66	Teichoic acid glycerol-phosphate primase	tagB HIR78_20575
A0A6M3ZL68	Gamma-DL-glutamyl hydrolase	pgdS HIR78_20625
A0A6M3ZL83	Toxin-antitoxin system YwqK family antitoxin	HIR78_20785
A0A6M3ZL88	Group-specific protein	HIR78_20835
A0A6M3ZLA5	Allantoin permease	pucI HIR78_20945
A0A6M3ZLB5	DUF418 domain-containing protein	HIR78_21065
A0A6M3ZLB8	YwmB family TATA-box binding protein	HIR78_21115
A0A6M3ZLD0	UPF0715 family protein	HIR78_21220
A0A6M3ZLE7	Fumarate/nitrate reduction transcriptional regulator Fnr	fnr HIR78_21395
A0A6M3ZLH0	Alanine--anticapsin ligase (EC 6.3.2.49)	bacD HIR78_21600
A0A6M3ZLI9	DUF2508 family protein	HIR78_21760
A0A6M3ZLN6	RNA polymerase sigma factor	sigY HIR78_22110
A0A6M3ZLP2	Polysaccharide deacetylase family protein	HIR78_22160
A0A6M3ZLP3	Two-component system response regulator YxJL	yxjL HIR78_22215
A0A6M3ZLP8	Methyltransferase domain-containing protein	HIR78_22265
A0A6M3ZLQ4	Esterase	HIR78_22320
A0A6M3ZLS6	LLM class flavin-dependent oxidoreductase	HIR78_22525
A0A6M3ZLT5	YxeA family protein	HIR78_22575
A0A6M3ZLW2	Gluconate operon transcriptional repressor GntR	gntR HIR78_22795
A0A6M3ZLW3	ATP-binding cassette domain-containing protein	HIR78_22850
A0A6M3ZLZ5	YitT family protein	HIR78_23215
A0A6M3ZM05	DUF951 domain-containing protein	HIR78_23325
A0A6M3ZM11	Two-component system sensor histidine kinase GlnK	glnK HIR78_01465
A0A6M3ZM17	IclR family transcriptional regulator	HIR78_02360
A0A6M3ZM23	GNAT family N-acetyltransferase	HIR78_03065
A0A6M3ZM39	Transglycosylase SLT domain-containing protein	HIR78_07005
A0A6M3ZM54	Transposase	HIR78_11020
A0A6M3ZM68	Outer membrane protein	HIR78_12465
A0A6M3ZM82	Transcriptional regulator SinR	sinR HIR78_14600
A0A6M3ZM97	Flagellar motor protein MotP	motP HIR78_17310
A0A6M3ZMA6	Excisionase family DNA-binding protein	HIR78_19315
A0A6M3ZMB3	Glycosyltransferase family 1 protein	HIR78_20440
A0A6M3ZMB6	Insulinase family protein	HIR78_21445
A0A6M3ZMC0	DUF4352 domain-containing protein	HIR78_22185
A0A6M4JBS3	Phosphagen kinase C-terminal domain-containing protein	HIR78_10810 HIR78_11710
A0A6M4JBV0	Cyclic di-AMP receptor DarA	darA HIR78_00205
A0A6M4JBV6	TatD family hydrolase	HIR78_00255
A0A6M4JBX7	Sporulation protein YabP	yabP HIR78_00360
A0A6M4JC05	YaaR family protein	HIR78_00210
A0A6M4JC34	Extracellular matrix regulator RemB	remB HIR78_00025
A0A6M4JC46	LysM peptidoglycan-binding domain-containing protein	HIR78_00110
A0A6M4JC57	Toxic anion resistance protein	HIR78_00190
A0A6M4JC63	YbaK family protein	HIR78_00910
A0A6M4JC72	Iron ABC transporter substrate-binding protein FeuA	feuA HIR78_01040
A0A6M4JC84	Pur operon repressor	purR HIR78_00295
A0A6M4JC95	Polysaccharide biosynthesis protein	HIR78_00345
A0A6M4JC99	Sporulation killing factor ABC transporter ATP-binding protein SkfE	skfE HIR78_01220
A0A6M4JCB8	YbeF family protein	HIR78_01320
A0A6M4JCB9	N-acetylmuramoyl-L-alanine amidase CwlD (EC 3.5.1.28)	cwlD HIR78_00915
A0A6M4JCC8	Transcriptional regulator Btr	btr HIR78_01045
A0A6M4JCD6	Transcriptional regulator GamR	gamR HIR78_01425
A0A6M4JCD8	RNA polymerase sporulation sigma factor SigH	sigH HIR78_00635
A0A6M4JCE0	Anti-sigma-W factor RsiW	rsiW HIR78_01120
A0A6M4JCE8	Aldehyde dehydrogenase family protein	HIR78_01480
A0A6M4JCF6	Sporulation killing factor system integral membrane protein	skfF HIR78_01225
A0A6M4JCF9	ABC transporter permease	HIR78_01535
A0A6M4JCI0	Sodium ABC transporter permease NatB	natB HIR78_01635
A0A6M4JCJ2	Zinc ABC transporter substrate-binding protein	HIR78_01685
A0A6M4JCK1	MFS transporter	HIR78_01740
A0A6M4JCL0	Alpha/beta hydrolase	HIR78_01025
A0A6M4JCM5	LysR family transcriptional regulator	HIR78_01865
A0A6M4JCN5	Nitrite reductase small subunit NirD	nirD HIR78_01925
A0A6M4JCP6	DUF2190 family protein	HIR78_01255
A0A6M4JCP7	Transporter substrate-binding domain-containing protein	HIR78_01975
A0A6M4JCQ8	Zinc ABC transporter ATP-binding protein ZnuC	znuC HIR78_01690
A0A6M4JCQ9	APC family permease	HIR78_01305
A0A6M4JCR6	Helix-turn-helix transcriptional regulator	HIR78_01745
A0A6M4JCS1	Cystine ABC transporter ATP-binding protein TcyC	tcyC HIR78_02080
A0A6M4JCS5	Dicarboxylate/amino acid:cation symporter	HIR78_01410
A0A6M4JCU1	Phosphatase RapC inhibitor PhrC	phrC HIR78_02180
A0A6M4JCU5	Two-component system response regulator YcbL	ycbL HIR78_01520
A0A6M4JCV2	Oxygen-insensitive NADPH nitroreductase (EC 1.5.1.38)	nfsA HIR78_02230
A0A6M4JCW5	Copper uptake transcriptional regulator YcnK	ycnK HIR78_02280
A0A6M4JCW7	Cystine ABC transporter permease TcyB	tcyB HIR78_02085
A0A6M4JCX3	DUF3923 family protein	HIR78_02135
A0A6M4JCX7	Phosphoglycolate phosphatase (EC 3.1.3.18)	HIR78_02330
A0A6M4JCY4	YjcZ family sporulation protein	HIR78_02185
A0A6M4JCZ5	Antibiotic biosynthesis monooxygenase	HIR78_02235
A0A6M4JD04	DUF3278 domain-containing protein	HIR78_01775
A0A6M4JD11	EcsC family protein	HIR78_02510
A0A6M4JD26	Alpha/beta hydrolase	HIR78_01910
A0A6M4JD30	Acyl--CoA ligase	HIR78_02395
A0A6M4JD35	Serine/threonine-protein kinase RsbT	rsbT HIR78_02665
A0A6M4JD43	RNA-binding transcriptional accessory protein	HIR78_02715
A0A6M4JD66	Pyridoxamine 5'-phosphate oxidase family protein	HIR78_02115
A0A6M4JD81	PH domain-containing protein	HIR78_02615
A0A6M4JD82	Winged helix-turn-helix transcriptional regulator	HIR78_03020
A0A6M4JD91	Phosphoserine phosphatase RsbU (EC 3.1.3.3)	rsbU HIR78_02670
A0A6M4JD93	Flavin reductase family protein	HIR78_03080
A0A6M4JD97	Cortex morphogenetic protein CmpA	cmpA HIR78_02720
A0A6M4JDB1	Dienelactone hydrolase family protein	HIR78_02315
A0A6M4JDC1	Antibiotic biosynthesis monooxygenase	HIR78_02375
A0A6M4JDD0	AraC family transcriptional regulator	HIR78_02970
A0A6M4JDF6	ABC-F family ATP-binding cassette domain-containing protein	HIR78_03420
A0A6M4JDF7	Manganese transporter MneP	mneP HIR78_03135
A0A6M4JDH5	Two-component system response regulator DctR	dctR HIR78_02545
A0A6M4JDH9	MMPL family transporter	HIR78_03235
A0A6M4JDI1	Thioredoxin	HIR78_02595
A0A6M4JDJ1	Iron chaperone	HIR78_03285
A0A6M4JDK1	WD40 repeat protein	HIR78_03585
A0A6M4JDK4	Acetyltransferase	HIR78_02790
A0A6M4JDL1	Conjugal transfer protein	HIR78_02840
A0A6M4JDL3	Terminase	HIR78_03480
A0A6M4JDL6	DUF58 domain-containing protein	HIR78_03635
A0A6M4JDM0	Carbohydrate kinase	HIR78_03540
A0A6M4JDM4	Cold shock protein CspC	cspC HIR78_02945
A0A6M4JDN3	DUF4129 domain-containing protein	HIR78_03640
A0A6M4JDN4	PLP-dependent aminotransferase family protein	HIR78_03005
A0A6M4JDQ7	Amino acid permease	HIR78_03740
A0A6M4JDR6	YesL family protein	HIR78_03950
A0A6M4JDS6	Class I SAM-dependent DNA methyltransferase	HIR78_03850
A0A6M4JDT5	Spore coat protein YeeK	yeeK HIR78_03905
A0A6M4JDU9	Chemotaxis protein	HIR78_04160
A0A6M4JDV3	Rhamnogalacturonan lyase	HIR78_04005
A0A6M4JDW1	Heme-degrading oxygenase HmoA	hmoA HIR78_04055
A0A6M4JDX2	Glucose-1-phosphate cytidylyltransferase	HIR78_04115
A0A6M4JDX5	DUF3243 domain-containing protein	HIR78_04310
A0A6M4JDY4	Spore germination protein	HIR78_04360
A0A6M4JDY5	NETI motif-containing protein	HIR78_03670
A0A6M4JDZ5	Two-component response regulator CitT	yflQ HIR78_04265
A0A6M4JE02	Cell division protein DivIC	divIC HIR78_00370
A0A6M4JE10	Ribosome maturation protein RlbA	rlbA yaaA HIR78_00015
A0A6M4JE14	TetR/AcrR family transcriptional regulator	HIR78_03820
A0A6M4JE15	Peptidylprolyl isomerase (EC 5.2.1.8)	HIR78_00430
A0A6M4JE22	Lipoprotein	HIR78_03885
A0A6M4JE25	Transcriptional regulator CtsR	ctsR HIR78_00560
A0A6M4JE27	Two-component system response regulator LnrK	lnrK linK HIR78_04615
A0A6M4JE30	Spore coat protein CotJC	cotJC HIR78_03935
A0A6M4JE33	DNA-3-methyladenine glycosylase 2 family protein	HIR78_04465
A0A6M4JE36	Anti-sigma-G factor	csfB HIR78_00180
A0A6M4JE44	Acetoin dehydrogenase operon transcriptional activator AcoR	acoR HIR78_04515
A0A6M4JE45	Transcriptional regulator YesS	yesS HIR78_03985
A0A6M4JE48	Regulatory protein RecX	recX HIR78_04720
A0A6M4JE53	Sugar ABC transporter permease	HIR78_04035
A0A6M4JE55	ABC transporter ATP-binding protein	HIR78_04570
A0A6M4JE58	Metal-dependent hydrolase	HIR78_04770
A0A6M4JE68	Noncanonical pyrimidine nucleotidase, YjjG family	HIR78_04145
A0A6M4JE69	Peroxide-responsive transcriptional repressor PerR	perR HIR78_04825
A0A6M4JE76	DEAD/DEAH box helicase	HIR78_04195
A0A6M4JE80	MarR family transcriptional regulator	HIR78_04670
A0A6M4JE85	General stress protein	HIR78_04245
A0A6M4JE93	Uncharacterized protein	HIR78_05090
A0A6M4JEA8	DUF1343 domain-containing protein	HIR78_01050
A0A6M4JEA9	MFS transporter	HIR78_04395
A0A6M4JEB7	Transcriptional regulator	HIR78_04445
A0A6M4JEC3	Class I SAM-dependent methyltransferase	HIR78_00675
A0A6M4JEC7	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha (EC 1.1.1.-)	acoA HIR78_04495
A0A6M4JEE2	Universal stress protein	HIR78_05405
A0A6M4JEF2	YhcN/YlaJ family sporulation lipoprotein	HIR78_05145
A0A6M4JEF3	Sigma-G-dependent sporulation-specific acid-soluble spore protein CsgA	csgA HIR78_01280
A0A6M4JEF4	UPF0342 protein HIR78_05460	HIR78_05460
A0A6M4JEG1	Glycerol uptake operon antiterminator regulatory protein	glpP HIR78_05200
A0A6M4JEG2	Putative NAD(P)H nitroreductase (EC 1.-.-.-)	HIR78_04700
A0A6M4JEG3	Membrane spanning protein	HIR78_01335
A0A6M4JEG4	Pro-sigmaK processing inhibitor BofA	bofA HIR78_00150
A0A6M4JEG5	ABC transporter permease	HIR78_05510
A0A6M4JEH6	Similarity	HIR78_05575
A0A6M4JEI0	Sporulation-specific protease PrtG	prtG yabG HIR78_00275
A0A6M4JEI1	PLP-dependent aminotransferase family protein	HIR78_05305
A0A6M4JEJ0	Anti-sigma-F factor Fin	fin HIR78_00330
A0A6M4JEJ1	FadR family transcriptional regulator	HIR78_01495
A0A6M4JEJ9	Stage II sporulation protein E (EC 3.1.3.16)	spoIIE HIR78_00390
A0A6M4JEK0	B3/4 domain-containing protein	HIR78_05020
A0A6M4JEL0	Anthranilate synthase component I family protein	HIR78_00440
A0A6M4JEL2	Transcriptional regulator LmrA	lmrA HIR78_01595
A0A6M4JEL6	RNA-binding protein S1	HIR78_00375
A0A6M4JEM0	Exonuclease SbcCD subunit D	HIR78_05515
A0A6M4JEM1	DUF4352 domain-containing protein	HIR78_01645
A0A6M4JEN0	Glucose/mannose transporter GlcP	glcP HIR78_05835
A0A6M4JEN3	CBS domain-containing protein	HIR78_05180
A0A6M4JEP2	Fatty-acid peroxygenase (EC 1.11.2.4)	cypC HIR78_01295
A0A6M4JEQ1	Two-component system response regulator YhcZ	yhcZ HIR78_05230
A0A6M4JEQ6	Transcriptional regulator DegA	degA iolQ HIR78_05995
A0A6M4JER0	AraC family transcriptional regulator	HIR78_01350
A0A6M4JER1	Deoxynucleoside kinase	HIR78_00105
A0A6M4JER5	SDR family oxidoreductase	HIR78_05790
A0A6M4JER6	Alpha/beta hydrolase	HIR78_00715
A0A6M4JES0	Helix-turn-helix transcriptional regulator	HIR78_01400
A0A6M4JES3	Polysaccharide deacetylase	HIR78_05390
A0A6M4JES5	50S ribosomal protein L29	rpmC HIR78_00765
A0A6M4JES6	GIY-YIG nuclease family protein	HIR78_00235
A0A6M4JES7	Sporulation delaying protein family toxin	HIR78_06095
A0A6M4JES8	Glucose-6-phosphate 3-dehydrogenase NdtC (EC 1.1.1.361)	ntdC HIR78_05840
A0A6M4JET3	Spore coat associated protein YheD	yheD HIR78_05445
A0A6M4JET4	SPOR domain-containing protein	HIR78_06150
A0A6M4JET7	Small, acid-soluble spore protein, alpha/beta type	HIR78_00285
A0A6M4JEU1	RDD family protein	HIR78_01985
A0A6M4JEU5	Energy-coupling factor ABC transporter ATP-binding protein	HIR78_00875
A0A6M4JEU6	Stage V sporulation protein T	spoVT HIR78_00340
A0A6M4JEU9	Spore coat protein	HIR78_05945
A0A6M4JEV1	Uncharacterized protein	HIR78_01560
A0A6M4JEV9	DUF2294 domain-containing protein	HIR78_01185
A0A6M4JEW1	RDD family protein	HIR78_01610
A0A6M4JEW2	Beta-N-acetylhexosaminidase (EC 3.2.1.52)	nagZ HIR78_01055
A0A6M4JEW9	Alpha/beta hydrolase	HIR78_01240
A0A6M4JEX1	CdaA regulatory protein CdaR	cdaR HIR78_01130
A0A6M4JEX9	Phage protein	HIR78_01180
A0A6M4JEY4	Monovalent cation:proton antiporter family protein	HIR78_06425
A0A6M4JEY5	YjcZ family sporulation protein	HIR78_02190
A0A6M4JEY7	Sporulation killing factor biosynthesis/export protein SkfH	skfH HIR78_01235
A0A6M4JEZ0	DMT family transporter	HIR78_01345
A0A6M4JEZ4	Amino acid permease	HIR78_01835
A0A6M4JEZ6	Spore coat protein CotY	cotY HIR78_06480
A0A6M4JEZ8	Helix-turn-helix transcriptional regulator	HIR78_02240
A0A6M4JF01	Hydrolase	HIR78_01395
A0A6M4JF03	TIGR03943 family protein	HIR78_01900
A0A6M4JF08	DUF2268 domain-containing protein	HIR78_06265
A0A6M4JF10	SgrR family transcriptional regulator	HIR78_05870
A0A6M4JF12	Sigma-70 family RNA polymerase sigma factor	HIR78_06595
A0A6M4JF15	PCP_red domain-containing protein	HIR78_01390
A0A6M4JF16	Divalent metal cation transporter	HIR78_02340
A0A6M4JF18	DNA-entry nuclease inhibitor	nin HIR78_02000
A0A6M4JF20	Germination protein GerPC	HIR78_05925
A0A6M4JF21	GNAT family N-acetyltransferase	HIR78_06650
A0A6M4JF22	S-methylmethionine permease	mmuP HIR78_01440
A0A6M4JF26	Macrolide 2'-phosphotransferase MphK	mphK ycbJ HIR78_01505
A0A6M4JF27	MFS transporter	HIR78_02050
A0A6M4JF31	Galactarate dehydratase (EC 4.2.1.42)	garD HIR78_01500
A0A6M4JF36	Phage protein	HIR78_06750
A0A6M4JF42	Lipase LipA	lipA HIR78_01605
A0A6M4JF43	Glycosyltransferase family 2 protein	HIR78_02460
A0A6M4JF45	ABC transporter ATP-binding protein	HIR78_02155
A0A6M4JF46	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	allD HIR78_06800
A0A6M4JF48	Putative phosphoesterase HIR78_06535 (EC 3.1.-.-)	HIR78_06535
A0A6M4JF49	DUF4901 domain-containing protein	HIR78_01655
A0A6M4JF57	DegV family protein	HIR78_06130
A0A6M4JF58	TerD family protein	HIR78_01710
A0A6M4JF59	YbhL family protein	HIR78_02570
A0A6M4JF66	SulP family inorganic anion transporter	HIR78_01015
A0A6M4JF67	PH domain-containing protein	HIR78_02620
A0A6M4JF68	Glycine/betaine ABC transporter substrate-binding protein OpuAC	opuAC HIR78_01760
A0A6M4JF72	LLM class flavin-dependent oxidoreductase	HIR78_01700
A0A6M4JF75	Anti-sigma factor antagonist	HIR78_02675
A0A6M4JF79	DUF2809 domain-containing protein	HIR78_06705
A0A6M4JF89	Phage protein	HIR78_07000
A0A6M4JF97	DUF4829 domain-containing protein	HIR78_02865
A0A6M4JFA5	Pyruvate oxidase (EC 1.2.3.3)	HIR78_02480
A0A6M4JFA8	Response regulator aspartate phosphatase RapA	rapA HIR78_06855
A0A6M4JFB3	C4-dicarboxylate TRAP transporter substrate-binding protein DctB	dctB HIR78_02535
A0A6M4JFB8	Phage-like element PBSX protein XkdB	HIR78_06905
