	protein	gene
b3429	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA b3429 JW3392
b3430	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)	glgC b3430 JW3393
b3431	Glycogen debranching enzyme (EC 3.2.1.196) (Glycogen operon protein GlgX) (Limit dextrin alpha-1,6-maltotetraose-hydrolase)	glgX glyX b3431 JW3394
b3432	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB b3432 JW3395
b3433	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd hom b3433 JW3396
b3434	UPF0056 inner membrane protein YhgN	yhgN b3434 JW3397
b4476	Low-affinity gluconate transporter (Gluconate permease) (Gnt-I system)	gntU b4476 JW5686
b3437	Thermoresistant gluconokinase (EC 2.7.1.12) (Gluconate kinase 2)	gntK b3437 JW3400
b3438	HTH-type transcriptional regulator GntR (Gluconate utilization system GNT-I transcriptional repressor)	gntR b3438 JW5946
b3439	Quercetin 2,3-dioxygenase (Quercetinase) (EC 1.13.11.24) (Pirin-like protein YhhW)	yhhW b3439 JW3402
b3440	Uncharacterized oxidoreductase YhhX (EC 1.-.-.-)	yhhX b3440 JW3403
b3441	L-amino acid N-acetyltransferase AaaT (L-methionine N-acetyltransferase) (EC 2.3.1.-) (L-phenylalanine N-acetyltransferase) (EC 2.3.1.53)	aaaT yhhY b3441 JW3405
b3442	Uncharacterized protein YhhZ	yhhZ b3442 JW3406
b3444	Insertion element IS1 6 protein InsA (IS1e)	insA6 b3444 JW3408
b3445	Insertion element IS1 6 protein InsB (IS1e)	insB6 b3445 JW3409
b4612	Protein YrhD	yrhD b4612 b3445.1
b3446	Uncharacterized protein YrhB	yrhB b3446 JW3411
b3447	Glutathione hydrolase proenzyme (EC 3.4.19.13) (Gamma-glutamyltranspeptidase proenzyme) (GGT) (EC 2.3.2.2) [Cleaved into: Glutathione hydrolase large chain; Glutathione hydrolase small chain]	ggt b3447 JW3412
b3448	Uncharacterized protein YhhA (ORFQ)	yhhA b3448 JW3413
b3449	Glycerophosphodiester phosphodiesterase, cytoplasmic (Glycerophosphoryl diester phosphodiesterase, cytoplasmic) (EC 3.1.4.46)	ugpQ b3449 JW3414
b3450	sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 7.6.2.10)	ugpC b3450 JW3415
b3451	sn-glycerol-3-phosphate transport system permease protein UgpE	ugpE b3451 JW3416
b3452	sn-glycerol-3-phosphate transport system permease protein UgpA	ugpA b3452 JW3417
b3453	sn-glycerol-3-phosphate-binding periplasmic protein UgpB	ugpB b3453 JW3418
b3454	High-affinity branched-chain amino acid transport ATP-binding protein LivF (LIV-I protein F)	livF b3454 JW3419
b3455	High-affinity branched-chain amino acid transport ATP-binding protein LivG (LIV-I protein G)	livG b3455 JW3420
b3456	High-affinity branched-chain amino acid transport system permease protein LivM (LIV-I protein M)	livM b3456 JW3421
b3457	High-affinity branched-chain amino acid transport system permease protein LivH (LIV-I protein H)	livH b3457 JW3422
b3458	Leucine-specific-binding protein (L-BP) (LS-BP)	livK b3458 JW3423
b3459	PanD regulatory factor	panZ panM yhhK b3459 JW3424
b3460	Leu/Ile/Val-binding protein (LIV-BP)	livJ b3460 JW3425
b3461	RNA polymerase sigma factor RpoH (Heat shock regulatory protein F33.4) (RNA polymerase sigma-32 factor)	rpoH fam hin htpR b3461 JW3426
b3462	Cell division protein FtsX	ftsX ftsS b3462 JW3427
b3463	Cell division ATP-binding protein FtsE	ftsE b3463 JW3428
b3464	Signal recognition particle receptor FtsY (SRP receptor)	ftsY b3464 JW3429
b3465	Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.171) (16S rRNA m2G966 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)	rsmD yhhF b3465 JW3430
b3466	Uncharacterized protein YhhL	yhhL b3466 JW5683
b3467	Uncharacterized protein YhhM	yhhM b3467 JW3432
b3468	Uncharacterized membrane protein YhhN	yhhN b3468 JW3433
b3469	Zinc/cadmium/lead-transporting P-type ATPase (EC 7.2.2.-) (EC 7.2.2.12) (EC 7.2.2.21) (Pb(II)/Cd(II)/Zn(II)-translocating ATPase) (Zn(2+)/Cd(2+)/Pb(2+) export ATPase)	zntA yhhO b3469 JW3434
b3470	Sulfur carrier protein TusA (Sulfur mediator TusA) (Sulfur transfer protein TusA) (tRNA 2-thiouridine synthesizing protein A)	tusA sirA yhhP b3470 JW3435
b3471	Queuosine precursor transporter (Q precursor transporter)	yhhQ b3471 JW3436
b3472	Inner membrane lipoprotein DcrB	dcrB yhhR b3472 JW5682
b3473	Uncharacterized MFS-type transporter YhhS	yhhS b3473 JW5945
b3474	Putative transport protein YhhT	yhhT b3474 JW5680
b3475	4'-phosphopantetheinyl transferase AcpT (EC 2.7.8.7)	acpT yhhU b3475 JW3440
b3476	Nickel-binding periplasmic protein	nikA b3476 JW3441
b3477	Nickel transport system permease protein NikB	nikB b3477 JW3442
b3478	Nickel transport system permease protein NikC	nikC b3478 JW3443
b3479	Nickel import ATP-binding protein NikD (EC 7.2.2.11)	nikD b3479 JW3444
b3480	Nickel import ATP-binding protein NikE (EC 7.2.2.11)	nikE b3480 JW3445
b3481	Nickel-responsive regulator	nikR yhhG b3481 JW3446
b3482	Protein RhsB	rhsB b3482 JW5679
b3483	Uncharacterized protein YhhH (ORF-B2)	yhhH b3483 JW3449
b3484	H repeat-associated putative transposase YhhI (ORF-H)	yhhI b3484 JW3451
b3485	Inner membrane transport permease YhhJ	yhhJ b3485 JW5677
b3486	Ribosome-associated ATPase (Ribosomal bound ATPase)	rbbA yhiG yhiH b3486 JW5676
b3487	Uncharacterized protein YhiI	yhiI b3487 JW3454
b3488	Uncharacterized protein YhiJ	yhiJ b3488 JW3455
b4660	Putative uncharacterized protein YhiL	yhiL b4660 JW3457 b3489 b3490
b3491	Inner membrane protein YhiM	yhiM b3491 JW5944
b3492	Uncharacterized protein YhiN	yhiN b3492 JW3459
b3493	Low-affinity inorganic phosphate transporter PitA (Metal phosphate:H(+) symporter PitA)	pitA pit b3493 JW3460
b3494	Universal stress protein B	uspB yhiO b3494 JW3461
b3495	Universal stress protein A	uspA b3495 JW3462
b3496	Dipeptide and tripeptide permease B	dtpB yhiP b3496 JW3463
b3497	Ribosomal RNA small subunit methyltransferase J (EC 2.1.1.242) (16S rRNA m2G1516 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)	rsmJ yhiQ b3497 JW5672
b3498	Oligopeptidase A (EC 3.4.24.70)	prlC opdA b3498 JW3465
b3499	Ribosomal RNA large subunit methyltransferase J (EC 2.1.1.266) (23S rRNA (adenine(2030)-N6)-methyltransferase) (23S rRNA m6A2030 methyltransferase)	rlmJ yhiR b3499 JW3466
b3500	Glutathione reductase (GR) (GRase) (EC 1.8.1.7)	gor b3500 JW3467
b4613	Uncharacterized protein DinQ	dinQ b4613
b3501	Arsenical resistance operon repressor	arsR arsE b3501 JW3468
b3502	Arsenical pump membrane protein (Arsenic efflux pump protein)	arsB arsF b3502 JW3469
b3503	Arsenate reductase (EC 1.20.4.1) (Arsenical pump modifier)	arsC arsG b3503 JW3470
b3505	Transposase InsH for insertion sequence element IS5T	insH11 b3505 JW3472
b3506	Outer membrane protein Slp	slp b3506 JW3474
b3507	HTH-type transcriptional regulator DctR	dctR yhiF b3507 JW3475
b3508	Putative magnesium transporter YhiD	yhiD yhhE b3508 JW5670
b3509	Acid stress chaperone HdeB (10K-L protein)	hdeB yhhD yhiC b3509 JW5669
b3510	Acid stress chaperone HdeA (10K-S protein)	hdeA yhhC yhiB b3510 JW3478
b3511	Protein HdeD	hdeD yhiA b3511 JW3479
b3512	Transcriptional regulator GadE	gadE yhiE yhiT b3512 JW3480
b3513	Multidrug resistance protein MdtE	mdtE yhiU b3513 JW3481
b3514	Multidrug resistance protein MdtF	mdtF yhiV b3514 JW3482
b3515	HTH-type transcriptional regulator GadW	gadW yhiW b3515 JW3483
b3516	HTH-type transcriptional regulator GadX	gadX yhiX b3516 JW3484
b3517	Glutamate decarboxylase alpha (GAD-alpha) (EC 4.1.1.15)	gadA gadS b3517 JW3485
b3518	Probable cytochrome c peroxidase (EC 1.11.1.5)	yhjA b3518 JW3486
b3519	Cytoplasmic trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	treF b3519 JW3487
b3520	Putative HTH-type transcriptional regulator YhjB	yhjB b3520 JW3488
b3521	Uncharacterized HTH-type transcriptional regulator YhjC	yhjC b3521 JW3489
b3522	Inner membrane protein YhjD	yhjD b3522 JW3490
b3523	Inner membrane metabolite transport protein YhjE	yhjE b3523 JW3491
b3524	AsmA family protein YhjG	yhjG yhjF b3524 JW3492
b3525	Cyclic di-GMP phosphodiesterase PdeH (EC 3.1.4.52)	pdeH yhjH b3525 JW3493
b3526	2-dehydro-3-deoxygluconokinase (EC 2.7.1.45) (2-keto-3-deoxygluconokinase) (3-deoxy-2-oxo-D-gluconate kinase) (KDG kinase)	kdgK yhjI b3526 JW5668
b3527	Protein YhjJ	yhjJ b3527 JW3495
b3528	Aerobic C4-dicarboxylate transport protein	dctA b3528 JW3496
b3529	Probable cyclic di-GMP phosphodiesterase PdeK (EC 3.1.4.52)	pdeK yhjK b3529 JW5943
b3530	Cellulose synthase operon protein C	bcsC yhjL b3530 JW5942
b3531	Endoglucanase (EC 3.2.1.4) (Carboxymethylcellulase) (CMCase) (Cellulase) (Endo-1,4-beta-glucanase)	bcsZ bcsC yhjM b3531 JW3499
b3532	Cyclic di-GMP-binding protein (Cellulose synthase regulatory subunit)	bcsB yhjN b3532 JW3500
b3533	Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)	bcsA yhjO yhjP b3533 JW5665
b3534	Putative cellulose biosynthesis protein BcsQ	bcsQ yhjQ b3534
b3535	Protein YhjR	yhjR b3535 JW3503
b3536	Cyclic di-GMP binding protein BcsE (Cellulose biosynthesis protein BcsE)	bcsE yhjS b3536 JW3504
b3537	Cellulose biosynthesis protein BcsF	bcsF yhjT b3537 JW5663
b3538	Cellulose biosynthesis protein BcsG	bcsG yhjU b3538 JW3506
b4453	Small toxic polypeptide LdrD	ldrD b4453 JW5966
b3539	Inner membrane transport protein YhjV	yhjV b3539 JW3508
b3540	Dipeptide transport ATP-binding protein DppF (EC 7.4.2.9)	dppF dppE b3540 JW3509
b3541	Dipeptide transport ATP-binding protein DppD (EC 7.4.2.9)	dppD b3541 JW3510
b3542	Dipeptide transport system permease protein DppC	dppC b3542 JW3511
b3543	Dipeptide transport system permease protein DppB	dppB b3543 JW3512
b3544	Dipeptide-binding protein (DBP) (Periplasmic dipeptide transport protein)	dppA b3544 JW3513
b3546	Kdo(2)-lipid A phosphoethanolamine 7''-transferase (EC 2.7.8.42) (Phosphoethanolamine transferase EptB)	eptB yhjW b3546 JW5660
b3547	Uncharacterized MFS-type transporter YhjX	yhjX b3547 JW3516
b3548	Uncharacterized protein YhjY	yhjY b3548 JW5659
b3549	DNA-3-methyladenine glycosylase 1 (EC 3.2.2.20) (3-methyladenine-DNA glycosylase I, constitutive) (TAG I) (DNA-3-methyladenine glycosidase I) (DNA-3-methyladenine glycosylase I)	tag b3549 JW3518
b3550	Peptidyl-lysine N-acetyltransferase YiaC (EC 2.3.1.-) (KAT)	yiaC b3550 JW3519
b3551	Biotin sulfoxide reductase (BDS reductase) (BSO reductase) (EC 1.-.-.-) (L-methionine-(S)-sulfoxide reductase) (Met-S-SO reductase) (EC 1.8.4.13)	bisC b3551 JW5940
b3552	Probable lipoprotein YiaD	yiaD b3552 JW5657
b3553	Glyoxylate/hydroxypyruvate reductase B (EC 1.1.1.79) (EC 1.1.1.81) (2-ketoaldonate reductase) (2-ketogluconate reductase) (2KR) (EC 1.1.1.215)	ghrB tkrA yiaE b3553 JW5656
b3554	Uncharacterized protein YiaF	yiaF b3554 JW5655
b3555	Uncharacterized HTH-type transcriptional regulator YiaG	yiaG b3555 JW3524
b3556	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	cspA cspS b3556 JW3525
b4455	Protein HokA	hokA yiaZ b4455 JW3526
b3557	Insertion element IS150 protein InsJ (ORFA)	insJ b3557 JW3527
b3558	Putative transposase InsK for insertion sequence element IS150	insK dinS b3558 JW3528
b3559	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	glyS glyS(B) b3559 JW3530
b3560	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	glyQ glyS(A) b3560 JW3531
b4553	Uncharacterized lipoprotein YsaB	ysaB b4553 JW3532
b3561	O-acetyltransferase WecH (EC 2.3.1.-)	wecH yiaH b3561 JW3533
b3562	Inner membrane protein YiaA	yiaA b3562 JW3534
b3563	Inner membrane protein YiaB	yiaB b3563 JW5654
b3564	Xylulose kinase (XK) (Xylulokinase) (EC 2.7.1.17) (1-deoxy-D-xylulokinase) (EC 2.7.1.-)	xylB b3564 JW3536
b3565	Xylose isomerase (EC 5.3.1.5) (D-xylulose keto-isomerase)	xylA b3565 JW3537
b3566	D-xylose-binding periplasmic protein	xylF xylT b3566 JW3538
b3567	Xylose import ATP-binding protein XylG (EC 7.5.2.10)	xylG b3567 JW3539
b3568	Xylose transport system permease protein XylH	xylH b3568 JW3540
b3569	Xylose operon regulatory protein	xylR b3569 JW3541
b3570	Protein bax	bax b3570 JW5653
b3571	Periplasmic alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	malS b3571 JW3543
b3572	Valine--pyruvate aminotransferase (EC 2.6.1.66) (Alanine--valine transaminase) (Transaminase C)	avtA b3572 JW5652
b3573	Putative electron transport protein YsaA	ysaA b3573 JW3545
b3574	DNA-binding transcriptional repressor YiaJ (YiaKLMNOPQRS operon repressor) (YiaK-S operon repressor)	yiaJ b3574 JW3546
b3575	2,3-diketo-L-gulonate reductase (2,3-DKG reductase) (EC 1.1.1.130) (3-dehydro-L-gulonate 2-dehydrogenase)	dlgD yiaK b3575 JW3547
b3576	Protein YiaL	yiaL b3576 JW3548
b3577	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM	yiaM b3577 JW3549
b3578	2,3-diketo-L-gulonate TRAP transporter large permease protein YiaN	yiaN b3578 JW5651
b3579	2,3-diketo-L-gulonate-binding periplasmic protein YiaO (2,3-DKG-binding protein) (Extracytoplasmic solute receptor protein YiaO)	yiaO b3579 JW3551
b3580	L-xylulose/3-keto-L-gulonate kinase (L-xylulokinase) (EC 2.7.1.-) (EC 2.7.1.53) (3-dehydro-L-gulonate kinase)	lyx lyxK sgbK xylK yiaP b3580 JW3552
b3581	3-keto-L-gulonate-6-phosphate decarboxylase SgbH (KGPDC) (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase)	sgbH yiaQ b3581 JW3553
b3582	Putative L-ribulose-5-phosphate 3-epimerase SgbU (EC 5.1.3.22) (L-xylulose-5-phosphate 3-epimerase)	sgbU yiaR b3582 JW5650
b3583	L-ribulose-5-phosphate 4-epimerase SgbE (EC 5.1.3.4) (Phosphoribulose isomerase)	sgbE yiaS b3583 JW3555
b3584	Putative outer membrane protein YiaT	yiaT b3584 JW3556
b3585	Uncharacterized HTH-type transcriptional regulator YiaU	yiaU b3585 JW3557
b3586	Inner membrane protein YiaV	yiaV b3586 JW3558
b3587	Inner membrane protein YiaW	yiaW b3587 JW3559
b3588	Aldehyde dehydrogenase B (EC 1.2.1.4) (Acetaldehyde dehydrogenase)	aldB yiaX b3588 JW3561
b3589	Probable alcohol dehydrogenase (EC 1.1.1.1)	yiaY b3589 JW5648
b3590	Selenocysteine-specific elongation factor (SelB translation factor)	selB fdhA b3590 JW3563
b3591	L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase)	selA fdhA b3591 JW3564
b3592	Uncharacterized GST-like protein YibF	yibF b3592 JW3565
b3593	Protein RhsA	rhsA b3593 JW3566
b3594	Protein YibA	yibA b3594 JW3568
b3595	Putative uncharacterized protein YibJ	yibJ rhsJ b3595 JW5647
b3596	Uncharacterized protein YibG (ORF-A3)	yibG b3596 JW3570
b4650	NA	NA
b4615	Protein YibV	yibV b4615
b3597	Inner membrane protein YibH	yibH b3597 JW3571
b3598	Uncharacterized protein YibI	yibI b3598 JW3572
b3599	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)]	mtlA b3599 JW3573
b3600	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	mtlD b3600 JW3574
b3601	Mannitol operon repressor (Mannitol repressor protein)	mtlR b3601 JW3575
b4554	Uncharacterized protein YibT	yibT b4554 JW3576
b3602	Uncharacterized protein YibL	yibL b3602 JW3577
b3603	L-lactate permease	lldP lctP b3603 JW3578
b3604	Putative L-lactate dehydrogenase operon regulatory protein	lldR lctR b3604 JW3579
b3605	L-lactate dehydrogenase (EC 1.1.-.-)	lldD lctD b3605 JW3580
b3606	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL)	trmL yibK b3606 JW3581
b3607	Serine acetyltransferase (SAT) (EC 2.3.1.30)	cysE b3607 JW3582
b3608	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	gpsA b3608 JW3583
b3609	Protein-export protein SecB (Chaperone SecB)	secB b3609 JW3584
b3610	Glutaredoxin 3 (Grx3)	grxC yibM b3610 JW3585
b3611	Uncharacterized protein YibN	yibN b3611 JW3586
b3612	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)	gpmI pgmI yibO b3612 JW3587
b3613	Murein hydrolase activator EnvC (Septal ring factor)	envC yibP b3613 JW5646
b3614	Uncharacterized protein YibQ	yibQ b3614 JW5645
b3615	Uncharacterized glycosyltransferase YibD (EC 2.4.-.-)	yibD b3615 JW3590
b3616	L-threonine 3-dehydrogenase (TDH) (EC 1.1.1.103) (L-threonine dehydrogenase)	tdh b3616 JW3591
b3617	2-amino-3-ketobutyrate coenzyme A ligase (AKB ligase) (EC 2.3.1.29) (Glycine acetyltransferase)	kbl b3617 JW3592
b3618	Protein HtrL	htrL yibB b3618 JW5644
b3619	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	hldD htrM rfaD waaD b3619 JW3594
b3620	ADP-heptose--LPS heptosyltransferase 2 (EC 2.-.-.-) (ADP-heptose--LPS heptosyltransferase II)	rfaF waaF b3620 JW3595
b3621	Lipopolysaccharide heptosyltransferase 1 (EC 2.-.-.-)	rfaC rfa-2 waaC yibC b3621 JW3596
b3622	O-antigen ligase	rfaL waaL b3622 JW3597
b3623	Lipopolysaccharide 1,2-N-acetylglucosaminetransferase (EC 2.4.1.56)	waaU rfaK waaK b3623 JW3598
b3624	Lipopolysaccharide core biosynthesis protein RfaZ	rfaZ b3624 JW3599
b3625	Lipopolysaccharide core heptose(II) kinase RfaY (EC 2.7.1.-)	rfaY waaY b3625 JW3600
b3626	Lipopolysaccharide 1,2-glucosyltransferase (EC 2.4.1.58)	rfaJ waaJ b3626 JW3601
b3627	Lipopolysaccharide 1,3-galactosyltransferase (EC 2.4.1.44) (Lipopolysaccharide 3-alpha-galactosyltransferase)	rfaI waaI b3627 JW3602
b3628	Lipopolysaccharide 1,6-galactosyltransferase (EC 2.4.1.-) (UDP-D-galactose--(Glucosyl)lipopolysaccharide-alpha-1,3-D-galactosyltransferase)	rfaB waaB b3628 JW3603
b3629	Lipopolysaccharide core biosynthesis protein RfaS	rfaS b3629 JW3604
b3630	Lipopolysaccharide core heptose(I) kinase RfaP (EC 2.7.1.-)	rfaP waaP b3630 JW3605
b3631	Lipopolysaccharide core biosynthesis protein RfaG (EC 2.4.-.-) (Glucosyltransferase I)	rfaG pcsA waaG b3631 JW3606
b3632	Lipopolysaccharide core heptosyltransferase RfaQ (EC 2.-.-.-)	rfaQ waaQ b3632 JW3607
b3633	3-deoxy-D-manno-octulosonic acid transferase (Kdo transferase) (EC 2.4.99.12) (EC 2.4.99.13) (Bifunctional Kdo transferase) (Kdo-lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase) (Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase)	waaA kdtA b3633 JW3608
b3634	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	coaD kdtB yicA b3634 JW3609
b3635	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM fpg b3635 JW3610
b3636	50S ribosomal protein L33 (Large ribosomal subunit protein bL33)	rpmG b3636 JW3611
b3637	50S ribosomal protein L28 (Large ribosomal subunit protein bL28)	rpmB b3637 JW3612
b3638	UPF0758 protein YicR	yicR b3638 JW5643
b3639	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC dfp b3639 JW5642
b3640	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	dut dnaS sof b3640 JW3615
b3641	Nucleoid occlusion factor SlmA (Protein Ttk) (Synthetically lethal with a defective Min system protein A)	slmA ttk yicB b3641 JW5641
b3642	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE b3642 JW3617
b3643	Truncated inactive ribonuclease PH (Truncated inactive RNase PH) (Inactive RNase PH) (Truncated RNase PH)	rph orfE b3643 JW3618
b3644	UPF0701 protein YicC	yicC b3644 JW3619
b3645	DNA damage-inducible protein D	dinD pcsA yicD b3645 JW3620
b3646	UPF0126 inner membrane protein YicG	yicG b3646 JW3621
b3647	DNA ligase B (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)] B)	ligB yicF b3647 JW3622
b3648	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	gmk spoR b3648 JW3623
b3649	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ b3649 JW3624
b3650	Bifunctional (p)ppGpp synthase/hydrolase SpoT [Includes: GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (Stringent response-like protein) (ppGpp synthase II); Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)]	spoT b3650 JW3625
b3651	tRNA (guanosine(18)-2'-O)-methyltransferase (EC 2.1.1.34) (tRNA [Gm18] methyltransferase)	trmH spoU b3651 JW3626
b3652	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG radC b3652 JW3627
b3653	Sodium/glutamate symporter (Glutamate permease)	gltS gltC b3653 JW3628
b3654	Xanthine permease XanP	xanP yicE b3654 JW3629
b3655	AsmA family protein YicH	yicH b3655 JW3630
b3656	Alpha-xylosidase (EC 3.2.1.177)	yicI b3656 JW3631
b3657	Inner membrane symporter YicJ	yicJ b3657 JW5939
b3659	Sugar efflux transporter C	setC yicK b3659 JW3633
b3660	Uncharacterized inner membrane transporter YicL	yicL b3660 JW3634
b3661	Lipoprotein 28	nlpA b3661 JW3635
b4555	Uncharacterized protein YicS	yicS b4555 JW5965
b3662	Purine ribonucleoside efflux pump NepI (Nucleoside efflux permease-inosine)	nepI yicM b3662 JW5938
b3663	Uncharacterized protein YicN	yicN b3663 JW5637
b3664	Adenine permease AdeQ	adeQ yicO b3664 JW5636
b3665	Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2)	ade yicP b3665 JW3640
b3666	Hexose-6-phosphate:phosphate antiporter	uhpT b3666 JW3641
b3667	Membrane sensor protein UhpC	uhpC b3667 JW3642
b3668	Signal transduction histidine-protein kinase/phosphatase UhpB (EC 2.7.13.3) (EC 3.1.3.-)	uhpB b3668 JW3643
b3669	Transcriptional regulatory protein UhpA	uhpA b3669 JW3644
b3670	Acetolactate synthase isozyme 1 small subunit (EC 2.2.1.6) (Acetohydroxy-acid synthase I small subunit) (AHAS-I) (ALS-I)	ilvN b3670 JW3645
b3671	Acetolactate synthase isozyme 1 large subunit (AHAS-I) (EC 2.2.1.6) (Acetohydroxy-acid synthase I large subunit) (ALS-I)	ilvB b3671 JW3646
b3672	ilv operon leader peptide (ilvBN operon attenuator peptide)	ivbL b3672 JW3647
b4618	Small toxic protein TisB (LexA-regulated protein TisB)	tisB ysdB b4618 JW3649
b3673	Multidrug resistance protein D	emrD yicQ b3673 JW5634
b3674	Uncharacterized protein YidF	yidF b3674 JW3650
b3675	Inner membrane protein YidG	yidG b3675 JW3651
b3676	Inner membrane protein YidH	yidH b3676 JW3652
b3677	Inner membrane protein YidI	yidI b3677 JW3653
b3678	Uncharacterized sulfatase YidJ (EC 3.1.6.-)	yidJ b3678 JW3654
b3679	Uncharacterized symporter YidK	yidK b3679 JW3655
b3680	Uncharacterized HTH-type transcriptional regulator YidL	yidL b3680 JW3656
b3681	Putative inactive 6-phospho-alpha-glucosidase	glvG b4556 b3681
b3682	Phosphotransferase enzyme IIB component GlvB (EC 2.7.1.-) (PTS system EIIB component)	glvB glvC yidN b3682 JW3659
b3683	Phosphotransferase IIC component GlvC (PTS system EIIC component)	glvC ptiC b3683 JW3660
b3684	Uncharacterized HTH-type transcriptional regulator YidP	yidP b3684 JW3661
b3685	Putative transport protein YidE	yidE yibE b3685 JW3662
b3686	Small heat shock protein IbpB (16 kDa heat shock protein B)	ibpB hslS htpE b3686 JW3663
b3687	Small heat shock protein IbpA (16 kDa heat shock protein A)	ibpA hslT htpN b3687 JW3664
b3688	Uncharacterized protein YidQ	yidQ b3688 JW5633
b3689	Uncharacterized protein YidR	yidR b3689 JW5860
b3690	Protein CbrA (CreB-regulated gene A protein)	cbrA yidS b3690 JW5631
b3691	D-galactonate transporter (D-galactonate/H(+) symporter)	dgoT yidT b3691 JW5859
b4478	D-galactonate dehydratase (GalD) (EC 4.2.1.6)	dgoD yidU b4478 JW5629
