Entry	Gene Names	Protein names
P39410	yjjJ b4385 JW4348	Toxin YjjJ (Putative DNA-binding transcriptional regulator YjjJ) (Putative serine/threonine kinase toxin YjjJ) (EC 2.-.-.-)
P39830	ybaL ylaA b0478 JW0467	Putative cation/proton antiporter YbaL
P39902	sprT yggI b2944 JW2911	Protein SprT
P41442	gspG hofG hopG b3328 JW3290	Type II secretion system core protein G (T2SS core protein G) (Protein transport protein HofG) (Putative general secretion pathway protein G)
P41443	gspH hofH hopH b3329 JW3291	Type II secretion system protein H (T2SS minor pseudopilin H) (General secretion pathway protein H) (Protein transport protein HofH) (Putative general secretion pathway protein H)
P42596	rlmG ygjO b3084 JW5513	Ribosomal RNA large subunit methyltransferase G (EC 2.1.1.174) (23S rRNA m2G1835 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RlmG)
P42601	alx ygjT b3088 JW5515	Putative membrane-bound redox modulator Alx
P42624	yhaK b3106 JW3077	Pirin-like protein YhaK
P42626	yhaM yhaN b4470 JW5518	UPF0597 protein YhaM
P42630	tdcG yhaP yhaQ b4471 JW5520	L-serine dehydratase TdcG (SDH) (EC 4.3.1.17) (L-serine deaminase)
P42640	yhbX b3173 JW5534	Putative transferase YhbX (EC 2.-.-.-)
P42904	agaV yhaY b3133 JW3102	N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 2 (EC 2.7.1.-) (EIIB-Aga') (PTS system N-acetylgalactosamine-specific EIIB component 2)
P42905	agaW b3134	Putative N-acetylgalactosamine permease IIC component 2 (EIIC-Aga') (PTS system N-acetylgalactosamine-specific EIIC component 2)
P42907	agaS yraB b3136 JW3105	Putative D-galactosamine-6-phosphate deaminase AgaS (EC 3.5.99.-) (Gam-6-P deaminase/isomerase)
P42909	agaB yraD b3138 JW3107	N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 1 (EC 2.7.1.-) (EIIB-Aga) (PTS system N-acetylgalactosamine-specific EIIB component 1)
P42910	agaC yraE b3139 JW3108	N-acetylgalactosamine permease IIC component 1 (EIIC-Aga) (PTS system N-acetylgalactosamine-specific EIIC component 1)
P42911	agaD yraF b3140 JW3109	N-acetylgalactosamine permease IID component (EIID-Aga) (PTS system N-acetylgalactosamine-specific EIID component)
P42912	agaI yraG b3141 JW3110	Putative deaminase AgaI (EC 3.5.99.-)
P42913	yraH b3142 JW3111	Uncharacterized fimbrial-like protein YraH
P42914	yraI b3143 JW3112	Probable fimbrial chaperone YraI
P42915	yraJ b3144 JW3113	Outer membrane usher protein YraJ
P43319	yraK b3145 JW3114	Uncharacterized fimbrial-like protein YraK
P43337	nudL yeaB b1813 JW1802	Uncharacterized Nudix hydrolase NudL (EC 3.6.1.-)
P45394	yrbG b3196 JW3163	Inner membrane protein YrbG
P45428	dcuD yhcL b3227 JW3196	Putative cryptic C4-dicarboxylate transporter DcuD
P45463	ttdR ygiP b3060 JW3032	HTH-type transcriptional activator TtdR
P45530	tusB yheL b3343 JW3305	Protein TusB (tRNA 2-thiouridine synthesizing protein B)
P45531	tusC yheM b3344 JW3306	Protein TusC (tRNA 2-thiouridine synthesizing protein C)
P45539	frlA yhfM b3370 JW3333	Probable fructoselysine/psicoselysine transporter FrlA
P45544	frlR yhfR b3375 JW5698	Probable fructoselysine utilization operon transcriptional repressor (HTH-type transcriptional regulator FrlR)
P45750	hofP yrfA b3392 JW5694	DNA utilization protein HofP
P45751	hofO yrfB b3393 JW3356	DNA utilization protein HofO
P45753	hofM yrfD b3395 JW5693	DNA utilization protein HofM
P45756	gspA yheD b3323 JW3285	Putative general secretion pathway protein A
P45757	gspC yheE b3324 JW3286	Putative type II secretion system protein C (T2SS protein C) (Putative general secretion pathway protein C)
P45759	gspE yheG b3326 JW3288	Putative type II secretion system protein E (T2SS protein E) (EC 7.4.2.8) (Putative general secretion pathway protein E) (Type II traffic warden ATPase)
P45760	gspI yheH b3330 JW5706	Putative type II secretion system protein I (T2SS minor pseudopilin I) (Putative general secretion pathway protein I)
P45761	gspJ yheI b3331 JW3293	Type II secretion system protein J (T2SS protein J) (Putative general secretion pathway protein J)
P45762	gspK yheJ b3332 JW3294	Putative type II secretion system protein K (T2SS protein K) (Putative general secretion pathway protein K)
P45763	gspL yheK b3333 JW5705	Putative type II secretion system protein L (T2SS protein L) (Putative general secretion pathway protein L)
P45766	yhdW b3268 JW3236	Putative amino-acid ABC transporter-binding protein YhdW
P45767	yhdX b3269 JW5544	Putative amino-acid ABC transporter permease protein YhdX
P45769	yhdZ b3271 JW3239	Uncharacterized amino-acid ABC transporter ATP-binding protein YhdZ
P45800	yrfF b3398 JW3361	Putative membrane protein IgaA homolog
P46068	dsdC b2364 JW2361	HTH-type transcriptional regulator DsdC (D-serine deaminase activator)
P46118	hexR yebK b1853 JW1842	HTH-type transcriptional regulator HexR (Hex regulon repressor)
P46481	aaeB yhcP b3240 JW3209	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)
P46482	aaeA yhcQ b3241 JW3210	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)
P46846	gntX yhgH b3413 JW5691	DNA utilization protein YhgH (Protein GntX)
P46854	aaaT yhhY b3441 JW3405	L-amino acid N-acetyltransferase AaaT (L-methionine N-acetyltransferase) (EC 2.3.1.-) (L-phenylalanine N-acetyltransferase) (EC 2.3.1.53)
P46859	gntK b3437 JW3400	Thermoresistant gluconokinase (EC 2.7.1.12) (Gluconate kinase 2)
P46888	uspC yecG b1895 JW1884	Universal stress protein C
P52043	scpC ygfH b2920 JW2887	Propionyl-CoA:succinate CoA transferase (EC 2.8.3.-)
P52067	fsr b0479 JW0468	Fosmidomycin resistance protein
P52076	qseB ygiX b3025 JW2993	Transcriptional regulatory protein QseB
P52086	cobC phpB b0638 JW0633	Adenosylcobalamin/alpha-ribazole phosphatase (EC 3.1.3.73) (Adenosylcobalamin phosphatase) (Alpha-ribazole-5'-phosphate phosphatase)
P52102	yfhL b2562 JW2546	Ferredoxin YfhL (EcFd)
P52108	rstA urpT b1608 JW1600	Transcriptional regulatory protein RstA
P52127	abpA yfjL b2628 JW2609	Anti-bacteriophage protein A
P52614	fliK flaE flaR b1943 JW1927	Flagellar hook-length control protein
P52627	fliZ yedH b1921 JW1906	Regulator of sigma S factor FliZ
P52647	ydbK b1378 JW1372	Probable pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)
P52697	pgl ybhE b0767 JW0750	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)
P54746	mngB ybgG b0732 JW0721	Mannosylglycerate hydrolase (EC 3.2.1.-) (2-O-(6-phospho-mannosyl)-D-glycerate hydrolase) (Alpha-mannosidase mngB)
P55799	pphB prpB ygbH b2734 JW2704	Serine/threonine-protein phosphatase 2 (EC 3.1.3.16)
P56258	wecF rffT yifM b4481 JW5596	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase (EC 2.4.1.325) (4-alpha-L-fucosyltransferase) (TDP-Fuc4NAc:lipid II Fuc4NAc transferase) (Fuc4NAc transferase)
P56579	srlA gutA sbl b2702 JW5429	PTS system glucitol/sorbitol-specific EIIC component (EIIC-Gut) (Glucitol/sorbitol permease IIC component)
P58035	sgcB b4565 JW5967	Putative phosphotransferase enzyme IIB component SgcB (EC 2.7.1.-) (Putative PTS system EIIB component)
P60566	fixA yaaQ b0041 JW0040	Protein FixA
P60778	tsgA gutS yhfC yhfH b3364 JW3327	Protein TsgA
P62670	flmA ORF52 parB stm ECOK12F066	Stable plasmid inheritance protein (F leading maintenance protein)
P63204	gadE yhiE yhiT b3512 JW3480	Transcriptional regulator GadE
P63389	yheS b3352 JW3315	Probable ATP-binding protein YheS
P64426	digH yddW b1491 JW1486	Glycosyl hydrolase DigH (EC 3.2.1.-) (Divisome-localized glycosyl hydrolase)
P64453	ortT ydcX b1445 JW5232	Orphan toxin OrtT
P64599	ubiT yhbT b3157 JW3126	Ubiquinone biosynthesis accessory factor UbiT
P64634	hofN yrfC b3394 JW3357	DNA utilization protein HofN
P64638	feoC yhgG b3410 JW3373	Probable [Fe-S]-dependent transcriptional repressor FeoC (Fe(2+) iron transport protein C)
P65367	yqcA b2790 JW2761	Flavodoxin YqcA
P65556	yfcD b2299 JW2296	Uncharacterized Nudix hydrolase YfcD (EC 3.6.-.-)
P67087	rsmI yraL b3146 JW3115	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)
P67662	aaeR yhcS b3243 JW3212	HTH-type transcriptional activator AaeR
P67701	higA ygjM b3082 JW3053	Antitoxin HigA
P69367	mdtH yceL b1065 JW1052	Multidrug resistance protein MdtH
P69789	glvB glvC yidN b3682 JW3659	Phosphotransferase enzyme IIB component GlvB (EC 2.7.1.-) (PTS system EIIB component)
P69808	fryB ypdH b2387 JW5389	PTS system fructose-like EIIB component 1 (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIB component 1)
P69816	frwB yijK b3950 JW3922	PTS system fructose-like EIIB component 2 (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIB component 2)
P69824	cmtB b2934 JW2901	Mannitol-specific cryptic phosphotransferase enzyme IIA component (EIIA-Mtl) (EIII-Mtl) (PTS system mannitol-specific EIIA component)
P69826	cmtA b2933 JW2900	PTS system mannitol-specific cryptic EIICB component (EIICB-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component)]
P71298	intF yagO b0281 JW0275	Prophage integrase IntF (Putative prophage CP4-6 integrase)
P71301	ecpR matA ykgK b0294 JW5031	HTH-type transcriptional regulator EcpR
P75681	afuB fbpB b0263 JW0255	Putative ferric transport system permease-like protein AfuB
P75683	yagG b0270 JW0263	Putative glycoside/cation symporter YagG
P75685	rclC ykgB b0301 JW5038	Inner membrane protein RclC (Reactive chlorine resistance protein C)
P75687	rclB ykgI b0303 JW5039	Uncharacterized protein RclB (Reactive chlorine resistance protein B)
P75712	ybbW glxB2 b0511 JW0499	Putative allantoin permease (Allantoin transport protein) (Allantoin transporter)
P75715	sfmH b0533 JW5071	Uncharacterized fimbrial-like protein SfmH
P75733	chiP ybfM b0681 JW0667	Chitoporin (ChiP-III)
P75736	ybfF b0686 JW0673	Esterase YbfF (EC 3.1.-.-)
P75742	dtpD ybgH b0709 JW0699	Dipeptide permease D
P75745	pxpC ybgK b0712 JW0702	5-oxoprolinase subunit C (5-OPase subunit C) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit C)
P75746	pxpA ybgL b0713 JW0703	5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)
P75747	abrB ybgN b0715 JW5097 ECK0704	Putative regulator AbrB (AidB regulator)
P75757	zitB ybgR b0752 JW0735	Zinc transporter ZitB
P75777	ybhG b0795 JW0779	UPF0194 membrane protein YbhG
P75782	rlmF ybiN b0807 JW5107	Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.181) (23S rRNA mA1618 methyltransferase) (rRNA adenine N-6-methyltransferase)
P75785	opgE ybiP b0815 JW0800	Phosphoethanolamine transferase OpgE (EC 2.7.-.-)
P75794	ybiY b0824 JW0808	Putative pyruvate formate-lyase 3-activating enzyme (EC 1.97.1.4) (Formate-C-acetyltransferase-activating enzyme 3) (PFL-activating enzyme 3)
P75799	gsiD yliD b0832 JW0816	Glutathione transport system permease protein GsiD
P75800	pdeI yliE b0833 JW0817	Probable cyclic di-GMP phosphodiesterase PdeI (EC 3.1.4.52)
P75811	rcdA ybjK b0846 JW5114	HTH-type transcriptional regulator RcdA (Regulator of csgD)
P75817	rlmC rumB ybjF b0859 JW0843	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC (EC 2.1.1.189) (23S rRNA(m5U747)-methyltransferase)
P75826	lysO ybjE b0874 JW0858	Lysine exporter LysO (Lys outward permease)
P75853	ssuA ycbO b0936 JW0919	Putative aliphatic sulfonates-binding protein
P75855	elfA ycbQ b0938 JW5122	Fimbrial subunit ElfA
P75857	elfC ycbS b0940 JW0923	Probable outer membrane usher protein ElfC
P75858	elfG ycbT b0941 JW0924	Uncharacterized fimbrial-like protein ElfG
P75885	gfcA ymcD b0987 JW5133	Threonine-rich inner membrane protein GfcA (Group 4 capsule protein A homolog)
P75901	efeU ycdN b4490 JW5141/JW1002 b1016/b1017	Putative inactive ferrous iron permease EfeU (Putative Fe(2+) ion permease EfeU)
P75915	ycdY b1035 JW1018	Chaperone protein YcdY
P75920	mdoC opgC ymdD b1047 JW1034	Glucans biosynthesis protein C (EC 2.1.-.-)
P75925	yceJ b1057 JW1044	Cytochrome b561 homolog 2
P75938	flgF fla FVI flaX b1077 JW1064	Flagellar basal-body rod protein FlgF (Putative proximal rod protein)
P75942	flgJ fla FX flaZ b1081 JW1068	Peptidoglycan hydrolase FlgJ (EC 3.2.1.-) (Muramidase FlgJ)
P75948	thiK ycfN b1106 JW1092	Thiamine kinase (EC 2.7.1.89)
P75969	intE ycfI b1140 JW1126	Prophage integrase IntE (Int(Lambda)) (Prophage e14 integrase) (Prophage lambda integrase)
P75987	iraM elb1 elbA ycgW b1160 JW1147	Anti-adapter protein IraM (Enhancing lycopene biosynthesis protein 1)
P75995	pdeG ycgG b1168 JW5174	Probable cyclic di-GMP phosphodiesterase PdeG (EC 3.1.4.52)
P76002	pliG ycgK b1178 JW1167	Inhibitor of g-type lysozyme
P76007	cvrA nhaP2 ycgO b1191 JW5184	K(+)/H(+) antiporter NhaP2 (Potassium/proton antiporter NhaP2)
P76027	oppD b1246 JW1238	Oligopeptide transport ATP-binding protein OppD
P76042	ycjN b1310 JW1303	Putative ABC transporter periplasmic-binding protein YcjN
P76043	ycjQ b1313 JW1306	D-guloside 3-dehydrogenase (EC 1.1.1.-)
P76078	paaB ynbF b1389 JW1384	1,2-phenylacetyl-CoA epoxidase, subunit B (1,2-phenylacetyl-CoA monooxygenase, subunit B)
P76080	paaD ydbQ b1391 JW5217	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D (1,2-phenylacetyl-CoA monooxygenase, subunit D)
P76102	insQ tnpB ydcM b1432 JW5228	Putative RNA-guided DNA endonuclease InsQ (EC 3.1.21.-)
P76114	mcbR yncC b1450 JW1445	HTH-type transcriptional regulator McbR
P76115	yncD b1451 JW1446	Probable TonB-dependent receptor YncD
P76128	ddpA yddS b1487 JW5240	Probable D,D-dipeptide-binding periplasmic protein DdpA
P76135	ydeO b1499 JW1494	HTH-type transcriptional regulator YdeO
P76142	lsrB yneA b1516 JW1509	Autoinducer 2-binding protein LsrB (AI-2-binding protein LsrB)
P76159	rrrQ arrQ ydfQ b1554 JW1546	Probable prophage lysozyme (EC 3.2.1.17) (Endolysin) (Lysis protein) (Muramidase) (Probable lysozyme from lambdoid prophage Qin)
P76168	intQ b1579 JW1571	Putative defective protein IntQ (Putative lambdoid prophage Qin defective integrase)
P76173	ynfH b1590 JW5261	Anaerobic dimethyl sulfoxide reductase chain YnfH (DMSO reductase anchor subunit YnfH)
P76175	clcB mriT ynfJ b1592 JW5263	Voltage-gated ClC-type chloride channel ClcB
P76182	rsxD rnfD ydgO b1630 JW1622	Ion-translocating oxidoreductase complex subunit D (EC 7.-.-.-) (Rsx electron transport complex subunit D)
P76187	ydhF b1647 JW1639	Oxidoreductase YdhF (EC 1.-.-.-)
P76192	ydhV b1673 JW5272	Uncharacterized oxidoreductase YdhV (EC 1.-.-.-)
P76204	ydiV cdgR b1707 JW1697	Putative anti-FlhC(2)FlhD(4) factor YdiV (c-di-GMP regulator CdgR)
P76213	cho dinM sosD ydjQ b1741 JW1730	Excinuclease cho (EC 3.1.25.-) (Endonuclease cho) (UvrC homolog protein)
P76224	ynjC b1755 JW5285	Inner membrane ABC transporter permease protein YnjC
P76241	nimR yeaM b1790 JW1779	HTH-type transcriptional regulator NimR (Regulator of nimT)
P76249	leuE yeaS b1798 JW1787	Leucine efflux protein
P76254	yeaX b1803 JW1792	Carnitine monooxygenase reductase subunit (EC 1.14.13.239) (Carnitine monooxygenase beta subunit)
P76261	pdeD adrB yoaD b1815 JW1804	Probable cyclic di-GMP phosphodiesterase PdeD (EC 3.1.4.52)
P76268	kdgR yebP b1827 JW1816	HTH-type transcriptional regulator KdgR
P76270	msrC yebR b1832 JW1821	Free methionine-R-sulfoxide reductase (fRMsr) (EC 1.8.4.14)
P76273	rsmF yebU b1835 JW5301	Ribosomal RNA small subunit methyltransferase F (EC 2.1.1.178) (16S rRNA m5C1407 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmF)
P76329	yedP b1955 JW1938	Mannosyl-3-phosphoglycerate phosphatase (MPGP) (EC 3.1.3.70)
P76345	yodB b1974 JW5323	Cytochrome b561 homolog 1
P76393	yegI b2070 JW2055	Protein kinase YegI (EC 2.7.-.-)
P76446	pdeN rtn b2176 JW2164	Probable cyclic di-GMP phosphodiesterase PdeN (EC 3.1.4.52)
P76461	atoB b2224 JW2218	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)
P76472	arnD pmrJ yfbH b2256 JW2250	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)
P76498	yfcO b2332 JW2329	Uncharacterized protein YfcO
P76499	yfcP b2333 JW2330	Uncharacterized fimbrial-like protein YfcP
P76500	yfcQ b2334 JW2331	Uncharacterized fimbrial-like protein YfcQ
P76501	yfcR b2335 JW2332	Uncharacterized fimbrial-like protein YfcR
P76506	mlaA vacJ b2346 JW2343	Intermembrane phospholipid transport system lipoprotein MlaA
P76518	yfdE b2371 JW2368	Acetyl-CoA:oxalate CoA-transferase (ACOCT) (EC 2.8.3.19) (Acetyl-coenzyme A transferase) (CoA:oxalate CoA-transferase)
P76524	ypdF b2385 JW2382	Aminopeptidase YpdF (EC 3.4.11.-)
P76540	eutK yffI b2438 JW2431	Bacterial microcompartment shell protein EutK (Ethanolamine utilization protein EutK)
P76542	intZ b2442	Prophage integrase IntZ (Putative prophage CPZ-55 integrase)
P76551	eutA yffT b2451 JW2435	Ethanolamine ammonia-lyase reactivase EutA
P76552	eutH yffU b2452 JW2436	Probable ethanolamine permease EutH (Ethanolamine utilization protein EutH)
P76553	eutG yffV b2453 JW2437	Probable alcohol dehydrogenase EutG (EC 1.1.1.1) (Ethanolamine utilization protein EutG)
P76555	eutQ ypfC b2460 JW2444	Acetate kinase EutQ (EC 2.7.2.1) (Ethanolamine utilization protein EutQ)
P76556	eutP ypfD b2461 JW2445	Probable acetate kinase EutP (EC 2.7.2.1) (Ethanolamine utilization protein EutP)
P76655	yqiG b3046 JW5507	Putative outer membrane usher protein YqiG
P76909	ynjD b1756 JW5286	Uncharacterized ABC transporter ATP-binding protein YnjD
P77156	ydcU b1442 JW1437	Inner membrane ABC transporter permease protein YdcU
P77170	pinQ ydfL b1545 JW1538	Serine recombinase PinQ (EC 3.1.22.-) (EC 6.5.1.-) (DNA-invertase PinQ) (Putative DNA-invertase from lambdoid prophage Qin) (Site-specific recombinase PinQ)
P77171	ydcI b1422 JW5226	Uncharacterized HTH-type transcriptional regulator YdcI
P77179	rsxE rnfE ydgQ b1632 JW1624	Ion-translocating oxidoreductase complex subunit E (EC 7.-.-.-) (Rsx electron transport complex subunit E)
P77183	paoD yagQ b0283 JW0277	Molybdenum cofactor insertion chaperone PaoD
P77196	yfcU yfcT b4661 JW2334/JW2335 b2337 b2338	Putative outer membrane usher protein YfcU
P77213	ybdK b0581 JW0570	Putative glutamate--cysteine ligase 2 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2) (GCS 2) (Gamma-GCS 2)
P77223	rsxB rnfB ydgM b1628 JW1620	Ion-translocating oxidoreductase complex subunit B (EC 7.-.-.-) (Rsx electron transport complex subunit B)
P77228	ydfJ b1543 JW1536 b4600	Putative transporter YdfJ
P77231	citG ybdT b0613 JW0605	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (2-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase) (EC 2.4.2.52)
P77249	sfmC b0531 JW0520	Probable fimbrial chaperone SfmC
P77265	mdlA mdl b0448 JW0438	Multidrug resistance-like ATP-binding protein MdlA (EC 7.6.2.2)
P77268	ddpD yddP b1484 JW1479	Probable D,D-dipeptide transport ATP-binding protein DdpD
P77269	yphF b2548 JW2532	ABC transporter periplasmic-binding protein YphF
P77285	rsxG rnfG ydgP b1631 JW1623	Ion-translocating oxidoreductase complex subunit G (EC 7.-.-.-) (Rsx electron transport complex subunit G)
P77288	yfcV b2339 JW2336	Uncharacterized fimbrial-like protein YfcV
P77293	yfdH b2351 JW2347	Prophage bactoprenol glucosyl transferase homolog (EC 2.4.1.-) (Bactoprenol glucosyl transferase homolog from prophage CPS-53)
P77315	yphD b2546 JW2530	Probable ABC transporter permease protein YphD
P77318	ydeN b1498 JW5243	Uncharacterized sulfatase YdeN (EC 3.1.6.-)
P77319	hscC ybeW b0650 JW0645	Chaperone protein HscC (Hsc62)
P77333	pgrR ycjZ b1328 JW1321	HTH-type transcriptional regulator PgrR (Regulator of PG recycling)
P77365	yafY b0251 JW0240	Lipoprotein YafY
P77368	ybcL b0545 JW0533	UPF0098 protein YbcL
P77375	ydhX b1671 JW5271	Uncharacterized ferredoxin-like protein YdhX
P77377	wzxC wzx b2046 JW2031	Lipopolysaccharide biosynthesis protein WzxC
P77400	ybaT b0486 JW0475	Inner membrane transport protein YbaT
P77409	ydhU b1670 JW1660	Putative cytochrome YdhU (Protein PhsC homolog)
P77416	hyfD b2484 JW2469	Hydrogenase-4 component D (EC 1.-.-.-)
P77432	lsrK ydeV b1511 JW1504	Autoinducer-2 kinase (AI-2 kinase) (EC 2.7.1.189)
P77437	hyfF b2486 JW2471	Hydrogenase-4 component F (EC 1.-.-.-)
P77445	eutE yffX b2455 JW2439	Acetaldehyde dehydrogenase (acetylating) EutE (EC 1.2.1.10) (Ethanolamine utilization protein EutE)
P77468	sfmD b0532 JW0521	Outer membrane usher protein SfmD
P77473	pdeB ylaB b0457 JW5062	Probable cyclic di-GMP phosphodiesterase PdeB (EC 3.1.4.52)
P77481	ycjV ymjB b4524 JW1311/JW5203 b1318	Putative uncharacterized ABC transporter ATP-binding protein YcjV
P77494	hokB ydcB b4428 JW5225	Toxic protein HokB
P77509	yphE b2547 JW2531	Uncharacterized ABC transporter ATP-binding protein YphE
P77549	yfcJ b2322 JW2319	Uncharacterized MFS-type transporter YfcJ
P77561	ydeP b1501 JW1495	Protein YdeP
P77579	fryC ypdG b2386 JW2383	Fructose-like permease IIC component 1 (PTS system fructose-like EIIC component 1)
P77596	yagF b0269 JW0262	D-xylonate dehydratase YagF (EC 4.2.1.82)
P77599	yfcS b2336 JW2333	Probable fimbrial chaperone YfcS
P77611	rsxC rnfC ydgN b1629 JW1621	Ion-translocating oxidoreductase complex subunit C (EC 7.-.-.-) (Rsx electron transport complex subunit C)
P77622	ddpF yddO b1483 JW1478	Probable D,D-dipeptide transport ATP-binding protein DdpF
P77626	sutR ydcN b1434 JW1430	HTH-type transcriptional regulator SutR (Sulfur utilization regulator)
P77672	lsrC ydeY b1514 JW1507	Autoinducer 2 import system permease protein LsrC (AI-2 import system permease protein LsrC)
P77682	yfdG b2350 JW2346	Prophage bactoprenol-linked glucose translocase homolog (Bactoprenol-linked glucose translocase homolog from prophage CPS-53)
P77689	sufD ynhC b1681 JW1671	FeS cluster assembly protein SufD
P77692	ykfI b0245 JW0234	Toxin YkfI
P77716	ycjP b1312 JW1305	Inner membrane ABC transporter permease protein YcjP
P77735	yajO b0419 JW0409	1-deoxyxylulose-5-phosphate synthase YajO (EC 1.1.-.-)
P77737	oppF b1247 JW1239	Oligopeptide transport ATP-binding protein OppF
P77744	abgR b1339 JW1333	HTH-type transcriptional regulator AbgR
P77756	queC ybaX b0444 JW0434	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)
P77768	rpnB yfcI b2305 JW2302	Recombination-promoting nuclease RpnB (EC 3.1.21.-)
P77795	ydcT b1441 JW1436	Uncharacterized ABC transporter ATP-binding protein YdcT
P77804	ydgA b1614 JW1606	Protein YdgA
P78067	ynjE b1757 JW5287	Thiosulfate sulfurtransferase YnjE (EC 2.8.1.1)
Q46798	ygeR b2865 JW2833	Uncharacterized lipoprotein YgeR
Q46801	xdhC ygeU b2868 JW2836	Putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC
Q46802	uacR ygeV b2869 JW2837	Putative uric acid sigma-54-dependent transcriptional regulator UacR (Uric acid regulator)
Q46803	ygeW b2870 JW5463	Putative carbamoyltransferase YgeW (EC 2.1.3.-) (UTCase)
Q46811	ygfK b2878 JW5923	Putative oxidoreductase YgfK (Putative oxidoreductase Fe-S subunit)
Q46814	xdhD ygfN b2881 JW2849	Probable hypoxanthine oxidase XdhD (EC 1.-.-.-)
Q46820	uacF ygfT b2887 JW5469	Putative oxidoreductase UacF (Uric acid degradation formate-related element)
Q46836	pppA yghH b2972 JW2939	Prepilin peptidase PppA
Q46863	ygiS b3020 JW2988	Probable deoxycholate-binding periplasmic protein YgiS
Q46888	ltnD ygbJ b2736 JW2706	L-threonate dehydrogenase (EC 1.1.1.411)
Q46889	otnK ygbK b2737 JW2707	3-oxo-tetronate kinase (EC 2.7.1.217) (3-dehydrotetronate 4-kinase)
Q46890	otnC ygbL b2738 JW2708	3-oxo-tetronate 4-phosphate decarboxylase (EC 4.1.1.104)
Q46891	otnI ygbM b2739 JW2709	2-oxo-tetronate isomerase (EC 5.3.1.35) (2-dehydrotetronate isomerase) (Glyoxylate-induced protein YgbM)
Q46915	gudX ygcY b2788 JW2759	Glucarate dehydratase-related protein (GDH-RP) (GlucDRP) (EC 4.2.1.-)
Q46939	yqeF b2844 JW5453	Probable acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)
Q46953	ypjF b2646 JW2627	Toxin YpjF
Q47005	nac b1988 JW1967	Nitrogen assimilation regulatory protein nac (Nitrogen assimilation control protein)
Q47013	elaD b2269 JW5840	Protease ElaD (EC 3.4.22.-) (Deubiquitinase) (Deubiquitinating enzyme) (DUB) (Deubiquitinating protease)
Q47083	cbl b1987 JW1966	HTH-type transcriptional regulator cbl
Q47129	feaR maoB maoR ydbM b1384 JW1379	Transcriptional activator FeaR
Q47141	hcaR phdR yfhT b2537 JW2521	Hca operon transcriptional activator HcaR
Q47142	hcaT yfhS b2536 JW2520	Probable 3-phenylpropionic acid transporter
Q47208	fdrA ylbD b0518 JW0506	Protein FdrA
Q47538	tauB ssiB yaiQ b0366 JW0358	Taurine import ATP-binding protein TauB (EC 7.6.2.7)
Q47539	tauC ssiC yaiJ b0367 JW0359	Taurine transport system permease protein TauC
Q47622	sapA b1294 JW1287	Probable ABC transporter periplasmic-binding protein SapA
Q47679	yafV b0219 JW5019	Omega-amidase YafV (EC 3.5.1.3)
Q47689	mmuP ykfD b0260 JW5027	Probable S-methylmethionine permease
Q47706	uidC gusC b1615 JW1607	Membrane-associated protein UidC
Q57083	perR b0254 JW0244	HTH-type transcriptional regulator PerR (Peroxide resistance protein PerR)
Q6BEX0	ytfR ytfS b4485 JW5752	Galactofuranose transporter ATP-binding protein YtfR (EC 7.5.2.9)
A0A0G3HGF9	sbcB	Exodeoxyribonuclease I (EC 3.1.11.1)
A0A385XJ53	insA9 b4709	Insertion element IS1 9 protein InsA (IS1 repressor TnpA)
