	protein	gene
YP_004890471.1	Lipoprotein	lp_2867
YP_004890472.1	Phosphoglycerate mutase family protein (EC 5.4.2.1)	pgm8 lp_2868
YP_004890473.1	DUF4440 domain-containing protein	lp_2870
YP_004890474.1	Transcription regulator, LysR family	lp_2871
YP_004890475.1	NAD(P)-dependent oxidoreductase, atypical SDR family, subgroup 6	lp_2872
YP_004890476.1	Alcohol dehydrogenase, zinc-binding (EC 1.1.1.1)	adh2 lp_2873
YP_004890477.1	Short-chain dehydrogenase/oxidoreductase	lp_2874
YP_004890478.1	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	lp_2876
YP_004890479.1	Universal stress protein	lp_2877
YP_004890480.1	Maltose O-acetyltransferase (EC 2.3.1.79)	maa lp_2878
YP_004890481.1	Hydrolase, HAD superfamily, subfamily IA (EC 3.1.3.35, EC 3.1.3.5)	lp_2879
YP_004890482.1	DUF3013 family protein	lp_2880
YP_004890483.1	Cell growth regulatory protein	chpA lp_2882
YP_004890484.1	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	lp_2883
YP_004890485.1	Hypothetical membrane protein	lp_2885
YP_004890486.1	NADP oxidoreductase, coenzyme F420-dependent	lp_2887
YP_004890487.1	Cystathionine beta-lyase (EC 4.4.1.8)	cblA2 lp_2888
YP_004890488.1	DUF3737 family protein	lp_2889
YP_004890489.1	Aldo/keto reductase family protein (EC 1.1.1.-)	lp_2890
YP_004890490.1	ABC transporter, ATP-binding and permease protein	lp_2893
YP_004890491.1	ABC transporter, ATP-binding and permease protein	lp_2894
YP_004890494.1	DUF1146 domain-containing protein	lp_2899
YP_004890495.1	Hypothetical membrane protein	lp_2900
YP_004890496.1	Hypothetical membrane protein	lp_2901
YP_004890497.1	Transcription regulator, TetR family	lp_2902
YP_004890498.1	Transcription regulator, ArsR family	lp_2903
YP_004890499.1	DNA-entry nuclease (EC 3.1.30.-)	endA lp_2906
YP_004890500.1	Acetyltransferase, GNAT family (EC 2.3.1.-)	lp_2907
YP_004890501.1	Acetyltransferase, GNAT family (EC 2.3.1.-)	lp_2909
YP_004890502.1	Membrane-bound protease, CAAX family	lp_2911
YP_004890503.1	ABC transporter, ATP-binding protein	lp_2912
YP_004890504.1	Hydrolase, HAD superfamily, Cof family	lp_2913
YP_004890505.1	Hypothetical membrane protein, DUF2207 family	lp_2914
YP_004890506.1	Excinuclease ABC, subunit A	uvrA3 lp_2915
YP_004890507.1	Transport protein, major facilitator superfamily (MFS)	lp_2917
YP_004890508.1	Transcription regulator, TetR family	ropB lp_2918
YP_004890509.1	Proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase)	pepR2 lp_2919
YP_004890510.1	Proline-containing amino acid or peptide transport protein	lp_2920
YP_004890511.1	Transport protein, major facilitator superfamily (MFS)	lp_2921
YP_004890512.1	Nucleotide pyrophosphatase	npp lp_2922
YP_004890513.1	Lipase/esterase	lp_2923
YP_004890514.1	Transcription regulator, GntR family	lp_2924
YP_004890515.1	Cell surface protein, LPXTG-motif cell wall anchor	lp_2925
YP_004890516.1	Cytochrome b5 heme-binding domain-containing protein	lp_2926
YP_004890517.1	PTS system, EIIA component (EC 2.7.1.69)	pts21A lp_2927
YP_004890518.1	Diguanylate cyclase/phosphodiesterase, GGDEF domain	lp_2929
YP_004890519.1	Diguanylate cyclase/phosphodiesterase, EAL domain	lp_2930
YP_004890520.1	Anaerobic ribonucleoside-triphosphate reductase-activating protein (EC 1.97.1.-)	nrdG lp_2931
YP_004890521.1	Anaerobic ribonucleoside-triphosphate reductase (EC 1.17.4.2)	nrdD lp_2932
YP_004890522.1	Lipoprotein	lp_2934
YP_004890523.1	Formylmethionine deformylase (EC 3.5.1.31)	def2 lp_2935
YP_004890524.1	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase)	apbE2 lp_2936
YP_004890525.1	tRNA-dihydrouridine synthase (EC 1.3.1.-)	dus3 lp_2937
YP_004890526.1	DUF3976 domain-containing protein	lp_2939
YP_004890527.1	Cell surface protein, LPXTG-motif cell wall anchor	lp_2940
YP_004890528.1	Transcription regulator, LysR family	lp_2942
YP_004890529.1	Cation transport protein	lp_2943
YP_004890530.1	Gallate decarboxylase (EC 4.1.1.59) (Gallate decarboxylase catalytic subunit) (Protocatechuate decarboxylase) (EC 4.1.1.63)	lpdC ubiD lp_2945
YP_004890531.1	zinc_ribbon_2 domain-containing protein	lp_2948
YP_004890532.1	Hypothetical membrane protein	lp_2949
YP_004890533.1	Bacteriocin immunity protein	lp_2952
YP_004890534.1	Esterase	lp_2953
YP_004890535.1	Hypothetical membrane protein	lp_2954
YP_004890536.1	Tannase (Tannin acylhydrolase) (EC 3.1.1.20)	tanL lp_2956
YP_004890537.1	Cell surface protein, LPXTG-motif cell wall anchor	wapA lp_2958
YP_004890538.1	Drug/metabolite transport protein, EamA family	lp_2959
YP_004890539.1	Lipase/esterase, subfamily of SGNH-hydrolases	lp_2960
YP_004890540.1	Metal-dependent hydrolase	lp_2961
YP_004890541.1	Transcription regulator, TetR family	lp_2963
YP_004890542.1	Transcription regulator, HxlR family	lp_2964
YP_004890543.1	Bifunctional protein: transcription regulator sugar kinase, ROK family (EC 2.7.1.-)	lp_2965
YP_004890544.1	Multidrug ABC transporter, ATP-binding and permease protein	lp_2966
YP_004890545.1	Transcription regulator, MarR family	lp_2967
YP_004890546.1	Nitroreductase (EC 1.-.-.-)	lp_2968
YP_004890547.1	PTS system N-acetylglucosamine-specific EIICBA component (EC 2.7.1.69)	pts22CBA lp_2969
YP_004890548.1	ABC transporter, ATP-binding protein	lp_2972
YP_004890549.1	ABC transporter, permease protein	lp_2973
YP_004890550.1	ABC transporter, substrate binding protein	lp_2974
YP_004890551.1	Cell surface protein, CscC family	lp_2975
YP_004890552.1	Cell surface protein, CscD family,LPXTG-motif cell wall anchor	lp_2976
YP_004890553.1	Cell surface protein, CscA/DUF916 family	lp_2977
YP_004890554.1	Cell surface protein, CscB family	lp_2978
YP_004890557.1	Branched-chain amino acid ABC transporter,ATP-binding protein	livE lp_2981
YP_004890558.1	Branched-chain amino acid ABC transporter,ATP-binding protein	livD lp_2982
YP_004890559.1	Branched-chain amino acid ABC transporter,permease protein	livC lp_2983
YP_004890560.1	Branched-chain amino acid ABC transporter,permease protein	livB lp_2984
YP_004890561.1	Branched-chain amino acid ABC transporter,substrate binding protein	livA lp_2985
YP_004890562.1	Conserved domain protein	lp_2987
YP_004890563.1	Extracellular zinc metalloproteinase, M10 family (EC 3.4.24.-)	zmp3 lp_2988
YP_004890564.1	Teichoic acid glycosylation protein	gtcA3 lp_2989
YP_004890565.1	Transcription regulator, Cro/CI family	lp_2991
YP_004890566.1	Manganese transport protein	mntH3 lp_2992
YP_004890567.1	Nucleotide-binding protein, universal stress protein UspA family	lp_2993
YP_004890568.1	S9 family peptidase	lp_2994
YP_004890569.1	Hypothetical membrane protein	lp_2995
YP_004890572.1	Hypothetical membrane protein	lp_2998
YP_004890573.1	ABC transporter, ATP-binding and permease protein	lp_3000
YP_004890574.1	Cell surface protein, LPXTG-motif cell wall anchor	lp_3001
YP_004890575.1	Hypothetical membrane protein	lp_3002
YP_004890576.1	Metallo-phosphoesterase	lp_3003
YP_004890577.1	AraC family transcriptional regulator	lp_3004
YP_004890578.1	Transcription regulator, TetR family	lp_3006
YP_004890579.1	PTS system, cellobiose-specific EIIA component (EC 2.7.1.69)	pts23A lp_3008
YP_004890580.1	PTS system, cellobiose-specific EIIB component (EC 2.7.1.69)	pts23B lp_3009
YP_004890581.1	Permease IIC component	pts23C lp_3010
YP_004890582.1	6-phospho-beta-glucosidase (EC 3.2.1.86)	pbg6 lp_3011
YP_004890583.1	NAD-dependent epimerase/dehydratase protein family (EC 1.-.-.-)	lp_3012
YP_004890584.1	Transcription regulator, MerR family	lp_3013
YP_004890585.1	Extracellular transglycosylase, with LysM peptidoglycan binding domain	lp_3014
YP_004890586.1	Extracellular transglycosylase, with LysM peptidoglycan binding domain	lp_3015
YP_004890587.1	Hypothetical membrane protein	lp_3016
YP_004890588.1	ASCH domain-containing protein	lp_3017
YP_004890589.1	ABC transporter, substrate binding protein	lp_3018
YP_004890590.1	Extracellular protein, membrane-anchored	lp_3019
YP_004890591.1	DNA-3-methyladenine glycosylase I (EC 3.2.2.20)	tag2 lp_3020
YP_004890592.1	Diguanylate cyclase/phosphodiesterase, GGDEF domain	lp_3021
YP_004890593.1	Fe/B12 periplasmic-binding domain-containing protein	lp_3022
YP_004890594.1	DNA polymerase V, subunit UmuC	umuC lp_3023
YP_004890595.1	Transcription regulator, LysR family	lp_3024
YP_004890596.1	Extracellular protein, membrane-anchored	lp_3025
YP_004890597.1	Short-chain dehydrogenase/oxidoreductase (EC 1.-.-.-)	lp_3026
YP_004890600.1	Short-chain dehydrogenase/oxidoreductase,atypical SDR family, subgroup 6	lp_3029
YP_004890601.1	Phosphatidyl-ethanolamine binding protein (PEBP)	lp_3030
YP_004890602.1	Cupin_2 domain-containing protein	lp_3031
YP_004890603.1	Cyclophil_like2 domain-containing protein	lp_3032
YP_004890604.1	Short-chain dehydrogenase/oxidoreductase	lp_3033
YP_004890605.1	Short-chain dehydrogenase/oxidoreductase,atypical SDR family, subgroup 6	lp_3034
YP_004890606.1	Transposase	ISP1_10 ISP1_1 ISP1_2 ISP1_3 ISP1_4 ISP1_7 ISP1_8 ISP1_9 lp_1064 lp_1288 lp_1463 lp_1537 lp_2164 lp_2617 lp_3036 lp_3308
YP_004890607.1	Hypothetical membrane protein	lp_3038
YP_004890608.1	Multidrug ABC transporter, ATP-binding and permease protein	lp_3040
YP_004890609.1	Multidrug ABC transporter, ATP-binding and permease protein	lp_3042
YP_004890610.1	Extracellular zinc metalloproteinase (EC 3.4.24.-)	zmp4 lp_3043
YP_004890611.1	Aminohydrolase/peptidase, M20D family (EC 3.5.1.-)	amd lp_3044
YP_004890612.1	Short-chain dehydrogenase/oxidoreductase,classical SDR family, subgroup 1	lp_3045
YP_004890613.1	SRPBCC family protein	lp_3047
YP_004890614.1	Transcription regulator, Xre family	lp_3048
YP_004890615.1	Amino acid transport protein	lp_3049
YP_004890616.1	Extracellular transglycosylase, membrane-bound	lp_3050
YP_004890617.1	1,3-propanediol dehydrogenase (EC 1.1.1.202)	dhaT lp_3051
YP_004890618.1	Aryl-alcohol dehydrogenase (EC 1.1.1.90)	lp_3054
YP_004890619.1	Copper transporting ATPase (EC 3.6.3.4)	copA lp_3055
YP_004890620.1	Copper-binding protein	lp_3057
YP_004890621.1	Copper-binding protein	lp_3058
YP_004890622.1	Adherence-associated mucus-binding protein,LPXTG-motif cell wall anchor	aapA lp_3059
YP_004890623.1	Transcription regulator, AraC family	lp_3060
YP_004890624.1	Regulator of competence TfoX	lp_3062
YP_004890625.1	Two-component system histidine protein kinase sensor protein (EC 2.7.3.-)	hpk9 lp_3063
YP_004890626.1	Cell surface protein, CscC family	lp_3064
YP_004890627.1	Cell surface protein, CscD family,LPXTG-motif cell wall anchor	lp_3065
YP_004890628.1	Cell surface protein, CscA/DUF916 family	lp_3066
YP_004890629.1	Cell surface protein, CscB family	lp_3067
YP_004890630.1	Medium-chain degydrogenase/reductase, Qor family (EC 1.-.-.-)	lp_3069
YP_004890631.1	Fe-S cluster biosynthesis protein	lp_3070
YP_004890632.1	GyrI-like domain-containing protein	lp_3071
YP_004890633.1	Cell surface protein, CscA/DUF916 family	lp_3072
YP_004890634.1	Cell surface protein, CscB family	lp_3073
YP_004890635.1	Cell surface protein, CscD family,LPXTG-motif cell wall anchor	lp_3074
YP_004890636.1	Cell surface protein, CscC family	lp_3075
YP_004890637.1	Extracellular protein	lp_3077
YP_004890638.1	(Pyro)phosphohydrolase, HAD superfamily	lp_3078
YP_004890639.1	Transcription regulator, PadR family	lp_3079
YP_004890640.1	Hypothetical membrane protein	lp_3080
YP_004890641.1	Transcription regulator, MarR family	lp_3081
YP_004890642.1	Carbohydrate transporter, major facilitator superfamily (MFS), putative 2,5 didehydro-D-gluconate-like	lp_3082
YP_004890643.1	Cell surface protein, ErfK family	lp_3084
YP_004890644.1	Asparagine synthase (Glutamine-hydrolysing) (EC 6.3.5.4)	asnB2 lp_3085
YP_004890645.1	Two-component system response regulator	lamR lp_3087
YP_004890646.1	Two-component system histidine protein kinase sensor protein (EC 2.7.3.-)	lamK lp_3088
YP_004890647.1	Auto-inducing peptide	lp_3089
YP_004890648.1	Transcription regulator, TetR family	lp_3090
YP_004890649.1	Short-chain dehydrogenase/oxidoreductase,atypical SDR family, subgroup 1	lp_3091
YP_004890650.1	Succinate-semialdehyde dehydrogenase (NAD(P)+) (EC 1.2.1.16)	gabD lp_3092
YP_004890651.1	Lysozyme/muramidase, glycoside hydrolase family 25 (EC 3.2.1.17)	lp_3093
YP_004890652.1	DUF1905 domain-containing protein	lp_3094
YP_004890653.1	Transcription regulator, MarR family	lp_3095
YP_004890654.1	Short-chain dehydrogenase/oxidoreductase	lp_3096
YP_004890655.1	Transcription regulator, TetR family	lp_3097
YP_004890656.1	NAD-dependent epimerase/dehydratase family protein (EC 1.-.-.-)	lp_3098
YP_004890657.1	Hypothetical membrane protein, DUF1211 family	lp_3099
YP_004890658.1	Aldo/keto reductase family protein (EC 1.-.-.-)	lp_3100
YP_004890659.1	Transport protein, major facilitator superfamily (MFS)	lp_3101
YP_004890660.1	Transcription regulator, TetR family	lp_3102
YP_004890661.1	Iron chelatin ABC transporter, substrate binding protein	fhuD lp_3103
YP_004890662.1	Iron chelatin ABC transporter, ATP-binding protein	fhuC lp_3104
YP_004890663.1	Iron chelatin ABC transporter, permease protein	fhuB lp_3105
YP_004890664.1	Iron chelatin ABC transporter, permease protein	fhuG lp_3106
YP_004890665.1	Transcription regulator, TetR family	lp_3107
YP_004890666.1	Short-chain dehydrogenase/oxidoreductase,atypical SDR family, subgroup 7 (EC 1.-.-.-)	lp_3108
YP_004890667.1	Short-chain dehydrogenase/oxidoreductase	lp_3110
YP_004890668.1	Acetyltransferase	lp_3111
YP_004890669.1	Short-chain dehydrogenase/oxidoreductase	lp_3112
YP_004890670.1	Transcription regulator, MerR family	lp_3113
YP_004890671.1	Mucus-binding protein, LPXTG-motif cell wall anchor	lp_3114
YP_004890672.1	Cell surface protein, CscA/DUF916 family	lp_3115
YP_004890673.1	Cell surface protein, CscB family	lp_3116
YP_004890674.1	Cell surface protein, CscC family	lp_3117
YP_004890675.1	Transcription regulator, TetR family	lp_3119
YP_004890676.1	Elongation factor 4 2 (EF-4 2) (EC 3.6.5.n1) (Ribosomal back-translocase LepA 2)	lepA2 lp_3120
YP_004890677.1	Na(+)/H(+) antiporter	nhaP4 lp_3122
YP_004890678.1	NAD(+) diphosphatase (EC 3.6.1.22)	lp_3123
YP_004890679.1	Transcription regulator, LysR family	lp_3124
YP_004890680.1	Fumarate reductase, flavoprotein subunit (EC 1.3.99.1)	lp_3125
YP_004890681.1	Mucus-binding protein, LPXTG-motif cell wall anchor	lp_3127
YP_004890682.1	DNA-binding ferritin-like protein, DPS family	dps1 lp_3128
YP_004890683.1	DUF2970 domain-containing protein	lp_3129
YP_004890684.1	Lipoprotein	lp_3130
YP_004890685.1	Transcription antiterminator, BglB family	bglG3 lp_3131
YP_004890686.1	6-phospho-beta-glucosidase (EC 3.2.1.86)	pbg7 lp_3132
YP_004890687.1	PTS system, beta-glucosides-specific EIIBCA component (EC 2.7.1.69)	pts24BCA lp_3133
YP_004890688.1	Extracellular protein, DUF 1093 family,membrane-bound	lp_3134
YP_004890689.1	Transketolase (EC 2.2.1.1)	tkt3 lp_3135
YP_004890690.1	Sugar-specific permease, SgaT/UlaA family	lp_3136
YP_004890691.1	PTS system, EIIB component	pts25B lp_3137
YP_004890692.1	Bifunctional protein: transcriptional antiterminator, BglG family PTS system, EIIA component	lp_3138
YP_004890693.1	Hypothetical membrane protein, DUF805 family	lp_3139
YP_004890694.1	DUF3781 domain-containing protein	lp_3141
YP_004890695.1	Type 1 glutamine amidotransferase (GATase1)-like domain protein, ThiJ/PfpI family	lp_3142
YP_004890696.1	NA	NA
YP_004890697.1	Oxidoreductase, C-terminal	lp_3144
YP_004890698.1	Oxidoreductase, N-terminal	lp_3145
YP_004890699.1	Malate dehydrogenase (EC 1.1.1.37)	lp_3150
YP_004890703.1	Cell surface protein, ErfK family	lp_3155
YP_004890706.1	Short-chain dehydrogenase/oxidoreductase,atypical SDR family, subgroup 6	lp_3158
YP_004890707.1	Bile acid 7-alpha-dehydratase (EC 4.2.1.106)	baiE lp_3159
YP_004890708.1	Multidrug transport protein, major facilitator superfamily (MFS)	lp_3160
YP_004890709.1	DUF4440 domain-containing protein	lp_3161
YP_004890710.1	Transcription regulator, TetR family	lp_3164
YP_004890714.1	Phage protein	lp_3169
YP_004890715.1	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 2 (BPG-dependent PGAM 2) (PGAM 2) (Phosphoglyceromutase 2) (dPGM 2) (EC 5.4.2.11)	gpmA2 pmg9 lp_3170
YP_004890716.1	Hypothetical membrane protein, DUF20 family	lp_3171
YP_004890717.1	Xylose operon regulator, ROK family	xylR lp_3172
YP_004890718.1	Cell surface protein, membrane-anchored	lp_3173
YP_004890719.1	Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79)	cfa2 lp_3174
YP_004890720.1	Hypothetical membrane protein	lp_3175
YP_004890721.1	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	pkn2 lp_3176
YP_004890722.1	Hypothetical membrane protein	lp_3177
YP_004890723.1	Extracellular protein	lp_3178
YP_004890724.1	HTH cro/C1-type domain-containing protein	lp_3179
YP_004890725.1	Hypothetical membrane protein	lp_3180
YP_004890726.1	Probable membrane transporter protein	tauE2 lp_3183
YP_004890727.1	Branched-chain amino acid transport protein	lp_3184
YP_004890728.1	Branched-chain amino acid transport protein	lp_3185
YP_004890729.1	Phosphinothricin N-acetyltransferase (EC 2.3.1.-)	bar lp_3187
YP_004890730.1	Serine-type D-Ala-D-Ala carboxypeptidase (EC 3.4.16.4)	dacA1 lp_3189
YP_004890731.1	Histidine kinase (EC 2.7.13.3)	hpk11 lp_3190
YP_004890732.1	Two component system response regulator	rrp11 lp_3191
YP_004890733.1	Hypothetical membrane protein, DUF1275 family	lp_3192
YP_004890734.1	Foldase protein PrsA 2 (EC 5.2.1.8)	prsA2 prtM2 lp_3193
YP_004890735.1	Inosine 5'-monophosphate (IMP) dehydrogenase (EC 1.1.1.205)	guaB lp_3194
YP_004890736.1	Hypothetical membrane protein, DUF1129 family	lp_3195
YP_004890737.1	Ribosome-binding ATPase YchF	ychF lp_3196
YP_004890738.1	DUF951 domain-containing protein	lp_3197
YP_004890739.1	Chomosome partitioning protein, DNA-binding protein	parB1 lp_3198
YP_004890740.1	Chomosome partitioning protein,membrane-associated ATPase	parA lp_3199
YP_004890741.1	Chromosome partitioning protein, DNA-binding protein	parB2 lp_3200
YP_004890742.1	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	rsmG lp_3201
YP_004890743.1	Pyrimidine nucleoside transport protein	nupC lp_3204
YP_004890744.1	Cell surface hydrolase, DUF915 family,membrane-bound	lp_3205
YP_004890745.1	Transcription regulator, LysR family	lp_3206
YP_004890746.1	PLP-dependent aminotransferase (EC 2.6.1.-)	lp_3207
YP_004890747.1	Cystine ABC transporter, substrate binding protein	lp_3209
YP_004890748.1	Cystine ABC transporter, permease protein	lp_3210
YP_004890749.1	Cystine ABC transporter, ATP-binding protein	lp_3211
YP_004890750.1	Cystathionine ABC transporter, substrate binding protein	lp_3214
YP_004890751.1	Zinc_ribbon_2 domain-containing protein	lp_3215
YP_004890752.1	Transcription regulator, PadR family	lp_3216
YP_004890753.1	Hypothetical membrane protein	lp_3217
YP_004890754.1	Extracellular protein, membrane-anchored	lp_3218
YP_004890755.1	PTS system, sucrose-specific EIIBCA component (EC 2.7.1.69)	pts26BCA lp_3219
YP_004890756.1	Sucrose/trehalose-6-phosphate hydrolase,glycosyl hydrolase family 13 (EC 3.2.1.-)	lp_3220
YP_004890757.1	Transcription regulator, LacI family,sucrose-related	lp_3221
YP_004890758.1	Hypothetical membrane protein, DUF218 family,YdcF subfamily	lp_3223
YP_004890759.1	ABC transporter, permease protein	lp_3224
YP_004890760.1	ABC transporter, ATP-binding protein	lp_3225
YP_004890761.1	Uncharacterized RNA methyltransferase lp_3226 (EC 2.1.1.-)	lp_3226
YP_004890762.1	Hydroxymethylglutaryl-CoA reductase	lp_3227
YP_004890763.1	Metal-dependent hydrolase	lp_3228
YP_004890764.1	PTS system, beta-glucosides-specific EIIBCA component (EC 2.7.1.69)	pts27BCA lp_3229
YP_004890765.1	Ceramidase_alk domain-containing protein	lp_3232
YP_004890766.1	Piwi domain-containing protein	lp_3233
YP_004890767.1	Transcription regulator, LysR family	lp_3234
YP_004890768.1	Short-chain dehydrogenase/oxidoreductase,atypical SDR family, TMR-like	lp_3236
YP_004890769.1	Hydrolase, HAD superfamily, Cof family	lp_3237
YP_004890770.1	Transcription regulator, MerR family	lp_3238
YP_004890771.1	Short-chain dehydrogenase/oxidoreductase,atypical SDR family, TMR-like (EC 1.-.-.-)	lp_3239
YP_004890772.1	PTS system, beta-glucosides-specific EIIABC component (EC 2.7.1.69)	pts28ABC lp_3240
YP_004890773.1	Endonuclease III (EC 4.2.99.18)	nth2 lp_3241
YP_004890774.1	Phage protein	lp_3243
YP_004890775.1	NADPH-dependent FMN reductase family protein (EC 1.-.-.-)	lp_3244
YP_004890776.1	Condensation domain-containing protein	lp_3245
YP_004890777.1	Integrating conjugative element protein	lp_3246
YP_004890778.1	Ferric uptake regulator	fur lp_3247
YP_004890779.1	Bacteriocin immunity protein	lp_3248
YP_004890780.1	PLDc_N domain-containing protein	lp_3250
YP_004890781.1	3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)	lp_3251
YP_004890782.1	Acetyltransferase, GNAT family (EC 2.3.1.-)	lp_3252
YP_004890783.1	Murein hydrolase export protein	lrgA lp_3254
YP_004890784.1	Murein hydrolase regulator	lrgB lp_3255
YP_004890785.1	DegV family protein	lp_3256
YP_004890786.1	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	lp_3257
YP_004890787.1	Zinc-dependent proteinase	lp_3259
YP_004890788.1	Dehydrosqualene desaturase (EC 1.14.99.-)	crtN lp_3262
YP_004890789.1	Dehydrosqualene synthase (EC 2.5.1.-)	crtM lp_3263
YP_004890790.1	Cell surface hydrolase, membrane-bound	lp_3265
YP_004890791.1	Glycerate kinase (EC 2.7.1.31)	glyK lp_3266
YP_004890792.1	Glutathione reductase (EC 1.8.1.7)	gshR4 lp_3267
YP_004890793.1	Bacteriocin immunity protein, EntA family	lp_3268
YP_004890794.1	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	purB lp_3269
YP_004890795.1	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA lp_3270
YP_004890796.1	GMP reductase (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase) (Guanosine monophosphate reductase)	guaC lp_3271
YP_004890797.1	Protein-tyrosine phosphatase (EC 3.1.3.48)	ptp2 lp_3272
YP_004890798.1	Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	cls lp_3273
YP_004890799.1	Extracellular protein, membrane-anchored	lp_3275
YP_004890800.1	Amino acid transport protein	lp_3278
YP_004890801.1	Probable potassium transport system protein kup 2	kup2 lp_3279
YP_004890802.1	Cation (Cobalt-zinc-cadmium) efflux protein	czcD1 lp_3280
YP_004890803.1	Hypothetical membrane protein, DUF20 family	lp_3281
YP_004890804.1	Methonine synthase (Cobalamine-independent),C-terminal domain	lp_3283
YP_004890805.1	Quaternary ammonium compound-resistance protein	qacC lp_3284
YP_004890806.1	Quaternary ammonium compound-resistance protein	qacH lp_3285
YP_004890807.1	Hypothetical membrane protein, hemolysin III family	lp_3286
YP_004890808.1	Transcription regulator, ArsR family	lp_3287
YP_004890809.1	Cation (Cobalt-zinc-cadmium) efflux protein	czcD2 lp_3288
YP_004890810.1	Transcription regulator, Xre family	lp_3290
YP_004890811.1	Hypothetical membrane protein	lp_3291
YP_004890812.1	Inner membrane protein	lp_3292
YP_004890813.1	DNA-3-methyladenine glycosylase I (EC 3.2.2.20)	tag3 lp_3293
YP_004890814.1	Dihydropteroate synthase (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	folP lp_3294
YP_004890815.1	Dihydroneopterin triphosphate pyrophosphohydrolase (EC 3.6.1.-)	folQ lp_3295
YP_004890816.1	Folylpolyglutamate synthase / dihydrofolate synthase (EC 6.3.2.12, EC 6.3.2.17)	folC2 lp_3296
YP_004890817.1	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	folE lp_3297
YP_004890818.1	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase (EC 2.7.6.3)	folK lp_3298
YP_004890819.1	7,8-dihydroneopterin aldolase (EC 4.1.2.25)	folB lp_3299
YP_004890820.1	Bacteriocin transport protein	lp_3301
YP_004890821.1	Metal ion ABC transporter, substrate binding protein	lp_3302
YP_004890822.1	Multidrug transport protein, major facilitator superfamily (MFS), EmrB/QacA subfamily	lp_3303
YP_004890823.1	DUF2187 domain-containing protein	lp_3305
YP_004890824.1	Transposase	ISP1_10 ISP1_1 ISP1_2 ISP1_3 ISP1_4 ISP1_7 ISP1_8 ISP1_9 lp_1064 lp_1288 lp_1463 lp_1537 lp_2164 lp_2617 lp_3036 lp_3308
YP_004890825.1	Hypothetical membrane protein, VanZ-like family	lp_3310
YP_004890826.1	Beta-lactamase family protein	lp_3312
YP_004890827.1	Formate acetyltransferase (EC 2.3.1.54) (Pyruvate formate-lyase)	pflB lp_3313
YP_004890828.1	Pyruvate formate-lyase-activating enzyme (EC 1.97.1.4)	pflA lp_3314
YP_004890829.1	FeS_assembly_P domain-containing protein	lp_3316
YP_004890830.1	Aldo/keto reductase family protein (EC 1.-.-.-)	lp_3318
YP_004890831.1	Nucleotide-binding protein, histidine triad family	lp_3319
YP_004890832.1	YdeI/OmpD-associated family protein	lp_3321
YP_004890833.1	DUF3644 domain-containing protein	lp_3322
YP_004890834.1	Lipase/esterase, SGNH or GDSL hydrolase family	lp_3323
YP_004890835.1	Glycine betaine/carnitine/choline transport protein	lp_3324
YP_004890836.1	Cadmium-/zinc-/cobalt-transporting ATPase (EC 3.6.3.-)	lp_3327
YP_004890837.1	MmcQ/YjbR family DNA-binding protein	lp_3330
YP_004890838.1	Transposase, N-terminal	ISP2_4N lp_3331
YP_004890840.1	DUF2325 domain-containing protein	lp_3333
YP_004890841.1	Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2)	ade adeC lp_3334
YP_004890842.1	Glutamine-fructose-6-phosphate transaminase (Isomerizing) (EC 2.6.1.16)	glmS2 lp_3335
YP_004890845.1	Na(+)/H(+) antiporter	nha2 lp_3338
YP_004890846.1	Amino acid transport protein	lp_3339
YP_004890847.1	Cell surface hydrolase, DUF915 family,membrane-bound	lp_3341
YP_004890848.1	Phosphatidylglycerophosphatase (EC 3.1.3.27)	pgpA lp_3342
YP_004890849.1	Short-chain dehydrogenase/oxidoreductase,atypical SDR family, TMR-like	lp_3343
YP_004890850.1	Transcription regulator, MarR family	lp_3344
YP_004890851.1	RNA polymerase (RNAP)-binding regulatory protein, arsenate reductase (ArsC) family, Spx subfamily	spx4 lp_3345
YP_004890852.1	DUF488 family protein	lp_3346
YP_004890853.1	DUF2294 domain-containing protein	lp_3348
YP_004890854.1	Adenine DNA glycosylase (EC 3.2.2.31)	mutY lp_3349
